"GeneSymbol","Log2FoldChange","DirectionalFoldChange"
"FGF19",1.28103786362812,2.43013736209117
"KITLG",1.25134553226345,2.38063349728464
"PIR-FIGF",1.61872392283505,3.07103280385821
"S100A14",1.23908478123259,2.36048739869772
"SHCBP1",-1.11664444631257,-2.16842034238802
"DLGAP1-AS1",1.60893955559187,3.05027550683573
"ME1",1.16985820042745,2.24989582080792
"LAMA3",-1.33548508913701,-2.52360320674219
"KCNN4",1.25221645318555,2.38207106336899
"SORL1",-1.02088622409317,-2.02916505989617
"CPEB4",-1.0770481082105,-2.10971498366769
"TRIM6",-1.49947875325649,-2.82740539660269
"PDGFB",-1.06716334979226,-2.09530948312399
"LIFR",-1.0449542507579,-2.06330092831586
"OSTM1",-1.26821177533413,-2.40862830261697
"H2AX",-1.1563662454736,-2.22895307634596
"CHST11",-1.09765140957907,-2.1400602434607
"CPA4",1.36724517153439,2.5797748708952
"ABCC2",1.36522179235812,2.57615927377425
"MYBL1",-1.55830625269659,-2.94507883399909
"SPC25",-1.13762360463902,-2.20018312182621
"ITGA2",-1.22696185173048,-2.34073538755029
"MT1E",1.00471733433335,2.00655031728634
"CCND1",-1.31210218738609,-2.48303085213007
"HSDL2",1.0193178239827,2.02696028805009
"ACSL5",1.30154669309,2.46493002750108
"TRIB3",1.51694406775602,2.86184208634584
"AFAP1L2",-2.01335486050932,-4.03719944547499
"EHF",1.11629526482228,2.16789557408849
"ZCCHC12",-2.18186397203611,-4.5373941004833
"ADPRHL1",1.61936708619293,3.07240219659416
"PIR",1.47487197346492,2.77958976452003
"RNA18SN5",-1.41464689255375,-2.66594476986323
"UQCC1",1.03965433252208,2.05573504339542
"ENC1",-1.02829980003135,-2.03961916613624
"SEPTIN4",-1.29659578374272,-2.45648560298849
"MBNL3",-1.41893032244483,-2.67387184823538
"EFR3B",-1.52898703382826,-2.88583143729656
"NEU1",-1.00753578472195,-2.01047414742433
"ARRDC4",1.7713409198836,3.41371098318382
"ARL2BP",-1.08967348334086,-2.1282586341716
"ZNF616",1.4380062753479,2.70946174039841
"ADAM15",1.06799395056412,2.0965161600099
"CNTNAP1",-1.00333549209286,-2.00462932328529
"SPAG1",-1.37210601800343,-2.58848151933715
"PRSS23",-1.19546340172509,-2.29018382293456
"CA11",1.17465879201142,2.25739485598558
"GPR137C",-1.91492554833716,-3.77094353548958
"TFAP4",1.05826463421574,2.08242514053949
NA,1.26108778056995,2.39676386899145
"C6orf141",1.12543220567832,2.18166895650928
"FHIT",1.49180936543249,2.81241474893808
"HTATIP2",1.4072111370545,2.65223964495893
"RBM24",-1.64874292450929,-3.13560302980426
"PBX1",1.00475064028663,2.00659664089642
"P2RX7",-2.10952563445916,-4.3154937561955
"HPSE",-1.077285479156,-2.11006212996425
"ABCB1",-1.69764867435371,-3.24371861452711
"NGFR-AS1",-1.73642810461482,-3.33209170008166
"ZW10",1.095966780745,2.13756276269228
"RNA18SN4",-1.24661375171096,-2.37283823761036
"LOC107986178",2.26925452909175,4.82073968936805
"BMF",-1.13225548864098,-2.19201168457318
"RNA18SN1",-1.27478669784085,-2.4196304101427
"CENPE",-1.12055257523346,-2.17430235810221
"OIP5",-1.40255158549714,-2.64368737893539
"LOC100507053",1.35590023408314,2.55956782114689
"LOC105369634",2.3792510618992,5.20266589015304
"SULT1A1",1.18845803179217,2.27909021300818
"WNT9A",1.00358909019222,2.00498172961884
"CHST1",-1.6304796189759,-3.09615912339951
"SKIL",-1.21086821781957,-2.3147689830307
"OGFR",1.16570082180089,2.24342168431276
"LOC105372860",1.75256783989506,3.36957780790694
"LOC105371441",-1.66913308714611,-3.18023436364112
"LINC02331",1.43620651378988,2.70608379525737
"MED12L",-1.01449528600701,-2.02019602177389
"RGS6",1.20191967681466,2.30045570344829
"SCML2",-1.11338485411639,-2.16352659352925
"GAL",-1.03822667990252,-2.05370174891654
"LOC105371692",1.72098181572896,3.29660678787895
"IQGAP2",-1.73656067451104,-3.33239790155501
"APOLD1",-1.22437558280764,-2.33654299202172
"GRAMD1B",1.30690261281511,2.47409794108932
"ENG",1.80618666672622,3.49716694210962
"APOBEC3B",-1.41033954805141,-2.6579971322135
"MYO15B",1.30929081006738,2.47819688572483
"E2F7",-1.02843963032444,-2.03981686167091
"PRR15",-1.31776352969268,-2.49279376441047
"ZBTB45",1.05484928956453,2.07750117011034
"PADI3",-1.96695665721385,-3.90942561327881
"KRTAP2-2",2.08733218113348,4.24961510899006
"KAT2B",-1.32191356758507,-2.49997482623018
"LOC101928034",1.03379936259148,2.04740904531324
"C1QL1",-1.38413432412435,-2.61015290597422
"CYP24A1",1.06170415701208,2.08739576387207
"GABRQ",-1.05095637366703,-2.07190287292859
"CORO1A",-1.20317028485158,-2.3024507305524
"PSMB9",-1.19283359469599,-2.2860129791861
"LOC102723566",1.8201344632663,3.53114108218184
