"GeneSymbol","Log2FoldChange","DirectionalFoldChange"
"DRAP1",1.00380774177514,2.00528562312304
"DYNC1H1",1.11519912772536,2.16624906655888
"ZNF598",1.13099127194694,2.19009169187479
"SDC4",1.9630332143864,3.89880828268401
"LPCAT3",1.13825818851699,2.20115110730449
"IGSF9",2.04992294299611,4.14083851963373
"LOC388152",1.62595060984681,3.0864546846274
"PMEPA1",1.63289368218137,3.10134426682387
"MMP15",1.77491443919584,3.42217714028684
"MAPK8IP3",1.46070141354901,2.75242149108523
"KREMEN1",2.66449708597045,6.34006260338042
"FLNB",1.5358009584307,2.89949360922821
"DDIT4",2.62535138953208,6.17034599686864
"ASMTL",2.13305169346458,4.38644352297983
"NXPH4",4.68446924404502,25.7137700733192
"SERTAD1",1.45462401831595,2.74085122187218
"IRF7",1.55937032761404,2.94725180915349
"HMGB2",-1.54467614953517,-2.9173857317857
"DISP2",1.9741178432956,3.92887928960434
"PPIAL4A",-2.1406642309747,-4.40965024251233
"SLC1A5",1.26752145758843,2.40747606941608
"GTF3C6",-1.22845925105051,-2.34316614045881
"DENND2D",-1.95036548672823,-3.864724265847
"TMEM132A",1.47085745178227,2.77186587830841
"CYR61",3.11682742799947,8.67478155043437
"KIAA0513",4.52572962619604,23.0345838070694
"RTN4R",1.51022891692496,2.84855234402791
"GLRX",2.0171423240549,4.04781210721791
"REEP6",1.64923142164432,3.13666492605068
"GFOD1",1.98350854907897,3.95453633187189
"TOM1L2",2.44212477617491,5.43441513094638
"TMEM104",1.67753163822203,3.19880187404347
"NOL3",-1.54959380376236,-2.92734707022741
"DMPK",2.15006299119253,4.43847167733455
"ITPRIP",2.30637921458279,4.94640104184995
"SNAPC4",1.28926915438362,2.44404213011959
"KLHL17",1.70986162676239,3.2712944594545
"ARHGAP1",-1.29211744706151,-2.44887213471248
"DAZAP2",-1.20734426412337,-2.30912178511296
"LMF2",1.14115764288057,2.20557931600147
"PFKP",1.18697981126037,2.27675619752892
"RNF181",1.14522155338621,2.21180094485243
"FSCN1",5.68527871074497,51.4564031847514
"ADIPOR2",1.37952029359868,2.60181844382966
"IFI30",1.2112385741527,2.31536328700743
"SLC2A8",1.35173165860028,2.55218278729301
"LOC100505573",2.37426268348128,5.18470779865229
"ATP6V0A1",1.5147471956529,2.85748751629861
"SLCO4A1",1.35537534164243,2.5586367488194
"KCNE3",-4.71613133819586,-26.2843351542897
"RPS10P7",-1.93787908507528,-3.83141974109857
"MYC",-1.82900714019784,-3.55292476748979
"INPP5K",1.76010611555567,3.38723038360909
"CDKN1C",2.43711326108071,5.41557025752269
"TSEN54",1.24241698303405,2.36594573242246
"STK40",1.15106052535731,2.22077083325904
"HPCAL1",1.38141914644666,2.60524517153997
"OSBPL7",1.4670618693189,2.76458296839489
"EDARADD",-1.0522125836709,-2.07370774403875
"ANKRD13D",1.50852788222787,2.84519568806025
"ARID3B",2.55765233663071,5.88748849963718
"HABP4",2.2114422253868,4.63138029480741
"STK24",1.0929441909738,2.13308904393
"GNB1L",1.01936715968108,2.02702960499405
"SLC3A2",1.42297269482033,2.68137443362494
"C17orf96",1.76437156990493,3.39725984633616
"RAD9A",1.94363519674908,3.8467370007318
"NRGN",2.22202259628311,4.66547055174707
"MPV17L2",1.35629050898414,2.56026032384275
"NDRG1",1.68227284640892,3.2093315655309
"MRPL27",-1.66782317140322,-3.17734813453763
"LRWD1",1.1059528690473,2.15240993201269
"C16orf79",2.34345593174401,5.07516923847625
"RELT",1.76565450186913,3.40028223956485
"C1orf130",3.42690001850667,10.7547346039575
"RIOK3",1.48575885957352,2.80064448666832
"HPDL",-1.78380747959041,-3.44333722663126
"MTHFS",-1.62689244787636,-3.08847028002003
"VCL",1.82682765429401,3.54756140027386
"SNORA61",1.59964237616687,3.03068177646301
"RAB24",1.5497724546887,2.92770959011733
"BMP4",-1.42752191110713,-2.68984289314124
"RASA4",2.41457179157223,5.33161198992958
"NR0B2",-4.25266255307962,-19.0624619545737
"SNAI1",4.72548312509659,26.455267953158
"GDF15",1.82995659039618,3.5552637478567
"ATP5L2",-1.47250797418244,-2.77503885986858
"HOXB9",-1.06650092735474,-2.09434762952724
"AFG3L1P",-1.29293132465114,-2.45025402373628
"RHEBL1",2.23711858383582,4.71454513231528
"FLNA",1.60965800496818,3.05179489536199
"SLC45A4",2.08279084669573,4.23625914668399
"EFNB2",1.81176372074439,3.5107121719028
"PNMA1",1.08628679577017,2.12326846405254
"NUP62",-1.0073883594423,-2.01026871276099
"MYZAP",2.82054767177374,7.06430519274865
"H1FX",1.98818611949753,3.96737871434615
"SLC25A25",1.77925259855737,3.43248305562231
"PQLC1",1.58441158858475,2.99885462911915
"VEGFA",2.00890494173938,4.02476609597066
"MBNL2",1.32704810987568,2.50888807210127
"ARHGEF18",1.45358328036813,2.73887472707259
"FCHO1",3.27767324535496,9.69790583415145
"CYTH3",3.21630172055305,9.29401337192556
"ATP6V0B",1.0282581916388,2.03956034285846
"LRFN4",-1.24387106459129,-2.36833155358028
"GRK5",1.73077739977661,3.31906618847059
"BAK1",1.60546793460092,3.04294431797066
"HMHA1",1.30113835294881,2.46423245288111
"SIPA1",2.08218793044612,4.23448914277776
"PLEC",1.30064913144733,2.46339696715053
"TUBB3",3.22121883279461,9.32574403775257
"CXorf40B",1.08059053371311,2.11490158982685
"C1orf9",1.35878877015393,2.56469767199863
"SMOX",2.08708951067452,4.24890035688194
"AQP3",1.87001920625679,3.65537446372666
"CYP1A1",7.62760227832788,197.759374958014
"CD82",1.05063626593337,2.07144320644322
"METRN",1.24048650245865,2.36278196068378
"SAT2",1.67970774274284,3.20363046183017
"IFFO2",1.2112356673959,2.31535862199438
"ARFGAP2",-1.28520607920707,-2.43716863550622
"TESK1",1.11548817425689,2.16668312191388
"PABPC3",-4.0624535482348,-16.7078425525658
"ATP2C2",1.4807899847681,2.79101520649576
"GADD45A",1.88493815933309,3.69337092434722
"AURKA",-1.95975207324127,-3.88995124512022
"TBPL1",1.76607202017008,3.40126642920428
"ITPKA",2.28707451164433,4.88065410833918
"TCIRG1",1.37507313754881,2.5938105994198
"TRIM47",-1.20085755872747,-2.29876272166171
"CDH1",1.02348500146268,2.0328235604622
"B3GAT3",1.52480558768437,2.87747937528066
"C9orf23",-1.17469058708423,-2.25744460650297
"AIMP2",-1.39048452413402,-2.621667137711
"PRKCA",1.84538454229629,3.59348718781263
"BCAS1",-1.34909895845761,-2.54752968679298
"CEND1",6.34809822366263,81.4644220481539
"ACOT7",1.36331050694551,2.57274863228264
"XLOC_l2_003065",-2.82965299285072,-7.10903132950413
"TBC1D2",1.34826229265477,2.54605271973713
"MAP1LC3B",1.62173273977841,3.07744428889934
"PI4KA",1.1524622656869,2.22292961022079
"ENTPD2",1.98746535544246,3.96539712454352
"ARMC5",-2.37288520010768,-5.17975980884284
"PPIF",-1.36395619953289,-2.57390034936339
"CLSTN3",1.90307397164796,3.74009255274984
"FUCA1",1.49365906174035,2.81602289154668
"MYB",-1.89965556777927,-3.73124105501953
"OVCA2",-1.29952889345737,-2.46148490696529
"XLOC_l2_000735",3.18457029811359,9.0918274122215
"HIST2H2AB",-1.77731072736793,-3.4278660326704
"NIPAL3",1.43750274450476,2.70851624640322
"ZDHHC11",2.15440575787053,4.45185238942765
"AVPI1",2.2626234044067,4.7986327492576
"RTN2",2.92914098558873,7.61656755125733
"ST14",1.06459952668017,2.09158920112212
"XLOC_l2_001192",-2.69027723833396,-6.45437427215469
"NFIL3",1.90842874375215,3.75400024351089
"PLEKHH3",1.74813137037852,3.35923184616785
"FOS",2.56773456616324,5.92877713448472
"BAG2",-2.36189329309264,-5.14044513003024
"PRR15L",-1.43237055593845,-2.69889819113275
"UAP1L1",3.95338684445268,15.491305714353
"CCDC94",-2.14700864305802,-4.42908487211226
"ALG5",-1.08463303042927,-2.12083594996759
"HIST1H4B",-1.87364063774096,-3.66456165591043
"C16orf80",1.2228404771494,2.33405810599479
"PGAM4",-1.31002058059648,-2.47945076993912
"HIST2H2AC",-1.67033063023884,-3.18287528821574
"SEPX1",1.40913028134641,2.65577013299551
"DNAJB11",1.01382603080363,2.01925908561471
"GPC1",1.5184820598636,2.86489459388646
"AGPAT9",1.48812410374421,2.80523980369432
"RPL23AP7",-1.1128352044344,-2.16270247258399
"LOC340335",2.99290835400829,7.96077205713424
"SH3PXD2A",2.11766934419298,4.33992269302056
"AHDC1",1.86601711340594,3.6452483626258
"RBX1",-1.22767263734311,-2.34188890295493
"ENDOD1",1.55440898711398,2.93713379702112
"AIM1L",1.90507856349976,3.74529293811305
"NMT1",-1.31011441974334,-2.4796120494233
"PHF19",-1.12161887380345,-2.17590998301803
"PPL",1.66413483020235,3.16923541764769
"DACT3",6.87406347922364,117.300347672381
