"","HT.29.cells.treatment.sample.3","HT.29.cells.treatment.sample.2","HT.29.cells.treatment.sample.1","HT.29.cells.control.sample.3","HT.29.cells.control.sample.2","HT.29.cells.control.sample.1"
"MIR3936HG",39.5248466458543,41.4777778011241,67.1053183406797,93.493640794241,54.2954880006727,66.063633415888
"MIR3936",7.71216519919108,3.11083333508431,13.0204349019229,8.49942189038554,9.36129103459874,10.8301038386702
"SLC22A5",856.050337110209,863.77472270841,755.18522431153,978.37789760438,983.871687736327,862.076265558145
"IRF1-AS1",29.8846401468654,29.0344444607869,34.0534451281061,23.6095052510709,33.7006477245555,45.4864361224147
"LINC02863",2.89206194969665,0,3.0047157465976,1.88876042008568,3.74451641383949,0
"IRF1",367.291867611475,402.334444670904,418.657060692599,328.644313094908,367.89873765973,466.777475446684
"RAD50",924.49580325303,894.883056059253,786.233953693038,1310.79973153946,825.665869251609,483.022631204689
"KIF3A",308.486607967643,282.048889047644,245.385119305471,404.194729898335,273.349698210283,145.12339143818
"CCNI2",8.67618584908996,12.4433333403372,19.0298663951181,13.2213229405997,10.2974201380586,14.0791349902712
"SEPTIN8",1693.78428187234,1592.74666756317,1609.52606826078,1568.61552888115,1477.21172525968,1438.2377897754
"SOWAHA",52.0571150945398,38.3669444660398,40.0628766213013,41.5527292418849,49.6148424833733,41.1543945869466
"SHROOM1",255.465472223204,259.236111257026,268.421273362719,253.093896291481,285.519376555261,258.839481744217
"GDF9",17.3523716981799,17.6280555654778,15.023578732988,24.5538854611138,17.7864529657376,5.41505191933508
"UQCRQ",2825.54452485363,3463.39444639387,4492.05004116341,2440.27846275069,2944.1260303813,4552.97565377694
"LEAP2",8.67618584908996,9.33250000525293,6.0094314931952,22.6651250410281,8.42516193113886,14.0791349902712
"AFF4",2797.58792600656,2257.42805682618,1600.51192102099,3243.00164128711,2661.41504113642,1176.14927687958
"AFF4-DT",3.85608259959554,1.0369444450281,2.00314383106507,2.83314063012851,2.80838731037962,1.08301038386702
"ZCCHC10",241.005162474721,200.130277890424,217.34110567056,255.927036921609,210.629048278472,210.104014470201
"HSPA4",4030.57033722724,3551.53472422126,3271.13387612925,4415.92186216031,4147.05192832724,2842.90225765092
"FSTL4",241.005162474721,202.20416678048,154.24207499201,199.264224319039,183.481304278135,205.771972934733
"CTB-49A3.2",2.89206194969665,3.11083333508431,0,1.88876042008568,0.936129103459874,1.08301038386702
"LOC124901066",34.7047433963598,8.29555556022483,12.0188629863904,22.6651250410281,3.74451641383949,8.66408307093613
