"","rownames(res)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NAIP_3","NAIP_3",2.24022201651191,-2.52521681777921,1.5712030939115,-1.60718676507484,0.108013404435873,0.999986944030967
"HAR1B","HAR1B",2.22340709298442,-2.48155334201011,1.72654307308859,-1.43729593584416,0.150633923175686,0.999986944030967
"ZNF385C","ZNF385C",4.32950971848467,-2.48062539002024,1.09787532046726,-2.25947823379841,0.0238536527627089,0.999986944030967
"FAM86HP","FAM86HP",6.48935636809711,-2.46394081849578,0.902266948151322,-2.73083351168323,0.00631743767388292,0.999986944030967
"LOC105369363","LOC105369363",4.26804130810494,-2.44009899698483,1.17680647504564,-2.07349215757009,0.0381265002228424,0.999986944030967
"OR51B4","OR51B4",5.23040841850808,-2.42273892164776,0.986852488156492,-2.45501627722863,0.0140878209264671,0.999986944030967
"LOC124903496","LOC124903496",4.20290218681246,-2.40253511087865,1.2531317784287,-1.91722463051028,0.0552094002355356,0.999986944030967
"DHH","DHH",4.07445552336382,-2.35735227509254,1.05749074095247,-2.22919424615415,0.0258009832169036,0.999986944030967
"LOC124906067","LOC124906067",3.04089459025831,-2.34589530287153,1.33367184531893,-1.75897490158874,0.0785817716554702,0.999986944030967
"LOC105376722_1","LOC105376722_1",1.99398589352609,-2.32691834719361,1.66446387430069,-1.39799870884626,0.162113454912949,0.999986944030967
"LOC107985922","LOC107985922",1.9912355246651,-2.32083484339758,1.49901927254007,-1.54823549364042,0.121565608753341,0.999986944030967
"LOC105375716","LOC105375716",2.98723219027279,-2.31717923195107,1.24136506747302,-1.86663802024655,0.0619521544037327,0.999986944030967
"IL21R","IL21R",2.98178186487894,-2.29727291466713,1.34331305005588,-1.71015454258527,0.08723729907692,0.999986944030967
"LOC107986556","LOC107986556",2.00653454324157,-2.29258170205454,1.55625356813465,-1.47314149120472,0.140712887620065,0.999986944030967
"LOC124903104","LOC124903104",4.83809923399354,-2.28421615464338,0.998849221966173,-2.28684780886853,0.0222047078358869,0.999986944030967
"CTD-2194D22.4","CTD-2194D22.4",1.95992980143956,-2.27219413217078,1.71305660143855,-1.32639758094548,0.184708039653063,0.999986944030967
"FRG1-DT","FRG1-DT",1.92817898202528,-2.26611051580379,1.65462543802008,-1.36956102797223,0.170823972092821,0.999986944030967
"UQCRB-AS1","UQCRB-AS1",2.87659040526109,-2.25730822813518,1.41805260108469,-1.59183673892529,0.111421392826452,0.999986944030967
"LOC124902977","LOC124902977",1.90369876862409,-2.24619452238834,1.79117456953296,-1.25403439764893,0.209829503075149,0.999986944030967
"LOC124902208","LOC124902208",1.8982705500616,-2.24587921125759,1.73128325624623,-1.29723383112196,0.194550743573239,0.999986944030967
"RARRES2","RARRES2",3.83899818180237,-2.23570730231361,1.08086136589989,-2.0684496391933,0.0385977615689303,0.999986944030967
"LOC101928214","LOC101928214",3.69703211425836,-2.22670031317116,1.27383472548194,-1.7480292133885,0.0804589689782339,0.999986944030967
"PLD4","PLD4",3.75890431346591,-2.22266036005573,1.06872295935378,-2.07973482800415,0.037549861724611,0.999986944030967
"PRH1","PRH1",2.83573091018158,-2.21533995243885,1.23215148025838,-1.79794447998739,0.0721858064376949,0.999986944030967
"INHBE","INHBE",7.46602531210896,-2.21003250812868,0.96448349074304,-2.29141559118452,0.021939388680947,0.999986944030967
"LOC107984830","LOC107984830",2.78188712353742,-2.20123874488613,1.26000877952376,-1.74700270399554,0.0806368690701734,0.999986944030967
"LOC101929003","LOC101929003",2.75701222627561,-2.19919946015213,1.2971296890898,-1.69543529737209,0.0899928747059743,0.999986944030967
"LOC124906099","LOC124906099",1.83033064758,-2.19753985547225,1.79971752637374,-1.22104709392928,0.222068189415623,0.999986944030967
"LOC105371812","LOC105371812",2.77679992083325,-2.17896459103552,1.3295743910318,-1.63884368240919,0.101245819090712,0.999986944030967
"LOC124905093","LOC124905093",1.83383882299129,-2.17497863983496,1.5287347091269,-1.42273124751459,0.15481407864121,0.999986944030967
"LCN15","LCN15",1.80447524974832,-2.17127765040853,1.59736486305809,-1.35928722399196,0.174055590904322,0.999986944030967
"TSC22D1-AS1","TSC22D1-AS1",1.87774360826044,-2.16439380982614,1.79247641403332,-1.20748802767003,0.227244253029579,0.999986944030967
"KCP","KCP",1.84874315770715,-2.15904748625202,1.68512252136382,-1.28124065691356,0.200109149634145,0.999986944030967
"LOC124905033","LOC124905033",3.63047650117445,-2.15764797744035,1.19958096524922,-1.79866806822171,0.0720712029242883,0.999986944030967
"C6orf163","C6orf163",3.59072883036772,-2.15748353102966,1.13142227298025,-1.90687737244794,0.0565364689589435,0.999986944030967
"VAC14-AS1","VAC14-AS1",1.78137022077762,-2.15547928964239,1.6204683057017,-1.33015825243741,0.183466135864601,0.999986944030967
"LOC107987417","LOC107987417",1.77861985191663,-2.15292898316943,1.59769201233681,-1.34752440804941,0.177811397828956,0.999986944030967
"LOC124903031","LOC124903031",1.82563812873645,-2.14175735533777,1.69928981491842,-1.26038380065297,0.207530942577351,0.999986944030967
"TMEM236","TMEM236",1.75551482294594,-2.13697811428062,1.64089755313809,-1.30232268930733,0.192806098552036,0.999986944030967
"LOC105378690","LOC105378690",1.79627455549348,-2.13635818682558,1.73249093199323,-1.23311363273209,0.217533371916392,0.999986944030967
"ACP4","ACP4",1.79388730932217,-2.13385798152883,1.61702718744276,-1.31961787538242,0.186962631672061,0.999986944030967
"SULT1C2","SULT1C2",3.62404567521073,-2.13260290662546,1.15330019572255,-1.84913079399017,0.0644389287990046,0.999986944030967
"SLC23A3","SLC23A3",3.61992012191924,-2.13233991735323,1.10507889641622,-1.92958161111249,0.0536586991005898,0.999986944030967
"NUGGC","NUGGC",1.79113694046118,-2.13203391086068,1.59427841621662,-1.33730337761218,0.181123628940329,0.999986944030967
"ARGFXP2","ARGFXP2",1.79113694046118,-2.13203391086068,1.59427841621662,-1.33730337761218,0.181123628940329,0.999986944030967
"LOC124901059","LOC124901059",1.72965942511425,-2.11826903886849,1.8209928779784,-1.16324949124465,0.244728291884166,0.999986944030967
"LOC105371017","LOC105371017",1.77353264921246,-2.11541175614316,1.91509241979312,-1.10460034945555,0.269332799601827,0.999986944030967
"LOC107986444","LOC107986444",1.80430296805687,-2.11409421170478,1.5913027129694,-1.32853051432297,0.184002909868991,0.999986944030967
"EDRF1-AS1","EDRF1-AS1",1.74141870710851,-2.10990440361052,1.7361769864336,-1.21525882447309,0.224267390979184,0.999986944030967
"LINC01111","LINC01111",1.77161260606126,-2.10770497715064,1.99065729903258,-1.05879850749546,0.289691553534682,0.999986944030967
"AOAH","AOAH",4.50029188014149,-2.10574919811878,1.07221337875213,-1.96392736730211,0.0495385155923964,0.999986944030967
"ERVV-2","ERVV-2",2.65660436396757,-2.10250754451429,1.23820416127807,-1.69802978399304,0.0895021405932718,0.999986944030967
"PWARSN","PWARSN",1.78119793908617,-2.09518065505679,1.64293662301801,-1.27526565888344,0.202215228351413,0.999986944030967
