"","HT-29 cells treatment sample-3","HT-29 cells treatment sample-2","HT-29 cells treatment sample-1","HT-29 cells control sample-3","HT-29 cells control sample-2","HT-29 cells control sample-1"
"MYOM3-AS1",0,0,0,0,0,0
"LOC124903878",0,0,0,0,0,0
"LOC105376864",0,0,0,0,0,0
"IL22RA1",99,131,80,71,80,88
"LOC124903879",6,1,0,4,5,2
"IFNLR1",36,56,57,62,69,51
"LINC02800",0,0,0,0,0,0
"GRHL3-AS1",10,5,15,11,6,2
"GRHL3",18,13,14,12,17,13
"STPG1",153,140,131,104,139,107
"NIPAL3",631,555,496,684,679,456
"RCAN3AS",1,1,0,1,1,1
"RCAN3",353,342,297,421,351,267
"NCMAP-DT",0,0,0,0,0,0
"NCMAP",0,0,0,0,0,0
"SRRM1",1400,1293,1147,1611,1244,1035
"LOC124904829",0,0,0,0,1,0
"CLIC4",4699,3663,3274,5369,5790,2406
"LOC105376876",0,0,0,0,0,0
"RUNX3",580,517,575,576,592,552
"MIR6731",0,0,0,0,0,0
"RUNX3-AS1",33,30,25,38,29,25
"MIR4425",0,0,0,0,0,0
"LINC02793",0,0,0,0,0,0
"LOC124903880",0,0,0,0,0,0
"SYF2",599,535,541,594,547,483
"LOC124903881",2,9,2,9,2,2
"RSRP1",274,285,272,366,225,204
"LOC105376882",0,0,0,0,0,0
"RHD",4,2,4,6,5,1
"TMEM50A",1874,1746,1960,1877,1945,1709
"LOC124904823",0,0,1,0,1,0
"RHCE",20,8,10,9,13,8
"MACO1",395,329,384,452,481,331
"LDLRAP1",702,701,693,645,790,778
"MAN1C1",98,106,90,86,107,112
"SELENON",1380,1224,1329,1290,1371,1406
"MTFR1L",759,737,904,653,713,722
"LOC646471",67,44,51,64,47,42
"AUNIP",359,336,375,358,449,353
"PAQR7",560,594,591,498,470,597
"STMN1",7076,7634,8630,6609,7891,8663
