"","rownames(res)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"107984551","107984551",14.5573805117478,0.222628857865235,0.5653126599574,0.393815446981165,0.693717299093329,0.909386230370866
"158801","158801",33.0686371250499,0.222639195523454,0.402729615720118,0.552825485966199,0.580382915089853,0.862731013993496
"101929732","101929732",5.59613565388289,0.222662540334222,0.838767007104221,0.265464113929501,0.790651951334747,NA
"3551","3551",228.670406508509,0.222858503284853,0.165008152345724,1.35059086546173,0.176826528519221,0.551701254680598
"64418","64418",349.488866528968,0.222937532758476,0.152063629215898,1.46608057369164,0.142626337371763,0.503639049216058
"5795","5795",854.837487464067,0.222949934516631,0.124695958125826,1.78794836550885,0.0737843387377139,0.37539103685583
"57674","57674",1414.81074266066,0.222962634355821,0.130581829780246,1.70745527713191,0.0877374635952362,0.406354327166231
"100528016","100528016",5141.44971598675,0.223028931739791,0.1006460644243,2.21597270609164,0.0266933714628546,0.223043531150328
"47","47",5378.67469104038,0.223041081700445,0.102405851578978,2.17801110250452,0.0294052101859558,0.234244685085577
"79922","79922",95.4356667179523,0.223043647280664,0.270723752629929,0.823879120741792,0.410008245145013,0.773145940097175
"7637","7637",892.618864644347,0.223075066066342,0.142136013481668,1.569447887288,0.11654361324906,0.461438300275024
"730092","730092",146.719608203082,0.223183921564013,0.192655099730445,1.15846360608301,0.246674895289427,0.633227967456528
"79675","79675",561.231453225519,0.22319455980456,0.139284290592878,1.60243885979179,0.109058597452611,0.447732822281747
"29986","29986",37.821914065391,0.223204462291874,0.368822093599558,0.605181918776847,0.545058128411416,0.84722003653897
"57513","57513",434.29108140904,0.223435445466073,0.167496114598193,1.3339739014369,0.182212409926012,0.558634359471236
"130497","130497",32.4094210168058,0.223472433988265,0.37577187171304,0.594702400074589,0.552042417241502,0.8508024522987
"23325","23325",1254.87176698507,0.22357273508079,0.118285069722174,1.89011796337368,0.058742185160529,0.336608438687994
"107984396","107984396",17.6378638829442,0.223574965459206,0.513463182992827,0.43542550442673,0.663253601156558,0.896386888577853
"10087","10087",1175.66947127911,0.223606996822901,0.109982433999188,2.03311555029372,0.0420408503047812,0.282328796524846
"84281","84281",143.353963838445,0.223634862359403,0.194125673973307,1.15201074531828,0.249316657830693,0.636135447110472
"9725","9725",1188.20283810734,0.223709427073193,0.118611637190848,1.8860664296644,0.0592860034217543,0.338591919188379
"8888","8888",769.225639360277,0.223761615299747,0.134462925759958,1.66411383684454,0.0960896824168686,0.425072312041099
"105371492","105371492",40.8665262080971,0.22384584814031,0.379296042325429,0.590161307162425,0.555082510073328,0.851804755688475
"51177","51177",43.178047075834,0.22384681759767,0.321938314342509,0.695309652890584,0.486861266184009,0.819432755178106
"645958","645958",59.4339454857313,0.223893664026735,0.288042078386526,0.777294988568615,0.436984751043687,0.789144245625757
"85001","85001",63.3062574186979,0.224008326513047,0.268330342787695,0.834822943189412,0.403817405893023,0.769296654154813
"378938","378938",84219.7904099599,0.224035040557658,0.351466874461841,0.637428608032253,0.523845698857126,0.838275575551591
"653234","653234",34.7617650029525,0.224099903028283,0.351138619930445,0.638209215131829,0.523337499350511,0.838275575551591
"2309","2309",2795.42287479582,0.224156832785905,0.103317080130288,2.16960092661572,0.0300370911315236,0.237144771067734
"105369699","105369699",18.1029874574395,0.224169949400367,0.553333915662094,0.405125988223829,0.685384904469468,0.906230597273106
"81846","81846",603.723941195231,0.224301286478721,0.135879893272129,1.65073198894489,0.098793312866475,0.429733969440747
"644619","644619",27.6448010449094,0.224384068223479,0.389386159459462,0.576250754610704,0.564445703574473,0.854536287595147
"11022","11022",285.314073082815,0.224499912198345,0.157240425850315,1.42774932708499,0.153364022757817,0.519384522605995
"56654","56654",365.167484310132,0.22450883020059,0.15815761080995,1.41952593397716,0.155745741528444,0.522961684300122
"101929760","101929760",10.5277569310888,0.224525426916675,0.64155437622548,0.349971000490477,0.726360461331235,0.922286638400844
"105378690","105378690",10.591752636426,0.224585604465749,0.624946106240419,0.359367955449505,0.719319843630791,0.919319816411131
