"","Caco-2 cells of no treatment group-1","Caco-2 cells of no treatment group-2","Caco-2 cells of no treatment group-3","Caco-2 cells of B. subtilis CW14 treatment group-1","Caco-2 cells of B. subtilis CW14 treatment group-2","Caco-2 cells of B. subtilis CW14 treatment group-3"
"57583",1392.94655566764,1368.3820999351,1266.05110294248,1521.3704505156,1824.47927240965,1548.12153792818
"102465694",0.98371931897432,2.05771744351143,4.48001097998047,3.37832076354316,2.12891397013962,2.69082538457969
"6993",1033.88900424201,845.721869283196,895.106193800098,913.272713077834,775.989142115891,727.419795631375
"94120",1293.59090445123,1197.59155212365,1347.58730277813,1112.59363812688,1200.70747915874,1024.30752973
"100500851",3.93487727589728,4.11543488702285,1.79200439199219,3.37832076354316,2.12891397013962,0.896941794859896
"7430",12781.4651114333,11415.1875178796,12351.3902718062,11816.2399239528,10960.7135752638,11559.7858521543
"101409257",200.678741070761,203.714026907631,238.336584134961,247.743522659832,232.051622745218,243.071226407032
"202459",5.90231591384592,6.17315233053428,8.96002195996094,11.2610692118105,6.38674191041885,12.5571851280385
"100130967",39.3487727589728,53.5006535312971,59.1361449357422,42.79206300488,41.5138224177226,32.2899046149562
"83861",222.320566088196,146.097938489311,131.712322811426,184.681535073693,150.088434894843,170.41894102338
"105378083",11.8046318276918,14.40402210458,11.6480285479492,14.6393899753537,8.51565588055847,14.3510687177583
"117289",0.98371931897432,2.05771744351143,3.58400878398438,3.37832076354316,3.19337095520943,1.79388358971979
"107986664",0,4.11543488702285,5.37601317597657,0,1.06445698506981,1.79388358971979
"105378085",0,3.08657616526714,2.68800658798828,3.37832076354316,3.19337095520943,2.69082538457969
"6648",2667.84679305836,2601.9837073202,2434.43796652139,8205.94113464633,3542.51284631232,8759.53356860174
"9589",2230.09169611478,2094.75635749463,2008.83692342324,2111.45047721447,2034.17729846841,2009.14962048617
"100129518",95.4207739405091,109.059024506106,102.144250343555,132.880616699364,78.7698168951659,118.396316921506
"39",4115.88163058856,3542.36057900492,3362.69624157334,3699.26123607976,2930.45007989718,3019.10608149841
"6950",6459.10104838539,6182.41205903008,6002.31871097784,5052.84175533938,4519.68435860641,4707.15053942473
"677806",29.5115795692296,22.6348918786257,27.7760680758789,5.63053460590526,9.58011286562828,7.17553435887917
"677812",29.5115795692296,28.80804420916,32.2560790558594,14.6393899753537,7.45119889548866,6.27859256401927
"29074",1311.29785219277,1266.52508648128,1175.55488114688,887.372253890669,687.639212355097,669.118578965482
"154197",7.86975455179456,5.14429360877856,7.16801756796875,1.12610692118105,3.19337095520943,3.58776717943958
"4142",0,7.20201105228999,2.68800658798828,0,3.19337095520943,1.79388358971979
"3482",2715.06532036912,2463.08777988318,2619.01441889658,2654.23401322374,2033.11284148334,2758.99296098904
"729603",125.916072828713,158.44424315038,134.400329399414,166.663824334796,128.799295193447,187.460835125718
"6580",8.85347387076888,16.4617395480914,8.06401976396485,27.0265661083453,21.2891397013962,20.6296612817776
"6582",0.98371931897432,8.2308697740457,2.68800658798828,1.12610692118105,4.25782794027924,0.896941794859896
"6581",324.627375261526,298.369029309157,285.824700522754,359.228107856756,350.206348087967,385.684971789755
"4018",1.96743863794864,1.02885872175571,0.896002195996094,2.25221384236211,3.19337095520943,0.896941794859896
"4216",377.748218486139,410.514629980529,403.200988198242,394.137422413368,433.233992923412,530.989542557058
"56895",126.899792147687,125.520764054197,118.272289871484,102.475729827476,117.090268357679,131.850443844405
"79992",5.90231591384592,4.11543488702285,6.27201537197266,9.00885536944842,9.58011286562828,7.17553435887917
"5071",2.95115795692296,5.14429360877856,1.79200439199219,7.88274844826737,8.51565588055847,1.79388358971979
"135138",1.96743863794864,3.08657616526714,0.896002195996094,4.50442768472421,11.7090268357679,1.79388358971979
"105378100",0,2.05771744351143,1.79200439199219,6.75664152708632,2.12891397013962,0.896941794859896
"100526820",9.8371931897432,17.4905982698471,10.7520263519531,25.9004591871642,14.9023977909773,24.2174284612172
"9444",662.043101669717,741.807138385869,792.065941260547,704.942932659339,984.622711189573,936.407233833731
"105378106",0.98371931897432,1.02885872175571,3.58400878398438,3.37832076354316,2.12891397013962,1.79388358971979
"10846",548.915379987671,475.332729451139,399.616979414258,663.27697657564,665.285615668631,559.691679992575
"105378116",14.7557897846148,10.2885872175571,9.85602415595704,19.1438176600779,23.4180536715358,16.1449523074781
"105378114",0.98371931897432,1.02885872175571,4.48001097998047,1.12610692118105,6.38674191041885,0
"285800",18.6906670605121,7.20201105228999,17.0240417239258,9.00885536944842,13.8379408059075,13.4541269228984
"107986669",7.86975455179456,2.05771744351143,1.79200439199219,4.50442768472421,2.12891397013962,5.38165076915937
"113402",1004.37742467278,845.721869283196,776.833903928614,810.796983250358,864.339071876685,724.728970246796
"100289495",33.4464568451269,28.80804420916,22.4000548999024,40.5398491625179,13.8379408059075,30.4960210252365
"51660",809.600999515865,655.383005758389,665.729631625098,702.690718816977,553.517632236301,575.836632300053
"6196",9.8371931897432,5.14429360877856,5.37601317597657,5.63053460590526,8.51565588055847,8.96941794859896
"8635",867.64043933535,812.798390187013,786.689928084571,800.662020959728,683.381384414817,720.244261272496
"105378120",6.88603523282024,11.3174459393128,18.816046115918,20.2699245812589,21.2891397013962,34.083788204676
"11116",855.835807507659,770.615182595029,718.593761188868,807.418662486815,852.630045040917,954.346069730929
"1235",5.90231591384592,5.14429360877856,3.58400878398438,11.2610692118105,5.32228492534905,11.6602433331786
"112267970",2.95115795692296,1.02885872175571,0.896002195996094,3.37832076354316,2.12891397013962,5.38165076915937
"401285",0.98371931897432,4.11543488702285,1.79200439199219,4.50442768472421,2.12891397013962,5.38165076915937
"112590798",8.85347387076888,3.08657616526714,3.58400878398438,10.1349622906295,5.32228492534905,13.4541269228984
"102724220",63.9417557333308,63.7892407488542,43.9041076038086,57.4314529802337,40.4493654326527,87.0033541014099
"102725048",41.3162113969214,26.7503267656485,27.7760680758789,47.2964906896042,40.4493654326527,39.4654389738354
"54346",266.587935442041,266.47440893473,269.696660994824,404.272384703998,299.112412804616,431.42900332761
"83887",71.8115102851254,77.1644041316785,75.2641844636719,165.537717413615,102.187870566702,218.853797945815
"105378130",2.95115795692296,4.11543488702285,3.58400878398438,1.12610692118105,3.19337095520943,0
"401286",23.6092636553837,23.6637506003814,13.4400329399414,22.5221384236211,28.7403385968848,22.4235448714974
"441178",19.6743863794864,22.6348918786257,24.1920592918945,29.2787799507074,24.4825106566056,26.9082538457969
"105378132",0,0,1.79200439199219,9.00885536944842,11.7090268357679,8.96941794859896
"26238",36.3976148020498,33.9523378179385,25.9840636838867,49.5487045319663,39.3849084475829,58.3012166658932
"441179",27.544140931281,37.0389139832057,35.8400878398438,60.8097737437768,28.7403385968848,26.011312050937
"653483",149.525336484097,124.491905332441,135.29633159541,155.402755122985,136.250494088936,208.090496407496
"4301",3253.15978784808,3555.73574238774,3573.25675763242,3486.42702797654,4056.64557010104,4007.53593943401
"107986673",27.544140931281,21.60603315687,17.0240417239258,18.0177107388968,10.6445698506981,23.3204866663573
"3834",1.96743863794864,5.14429360877856,0,2.25221384236211,1.06445698506981,1.79388358971979
"79981",22.6255443364094,17.4905982698471,17.0240417239258,43.918169926061,20.2246827163264,17.9388358971979
"168002",33.4464568451269,61.7315233053428,96.7682371675782,43.918169926061,42.5782794027924,96.8697138448687
"105378138",35.4138954830755,48.3563599225185,23.2960570958985,43.918169926061,36.1915374923735,40.3623807686953
"64094",14.7557897846148,43.2120663137399,46.5921141917969,33.7832076354316,45.7716503580018,40.3623807686953
"101929523",6.88603523282024,9.25972849580141,0.896002195996094,1.12610692118105,5.32228492534905,2.69082538457969
"7058",12.7883511466662,21.60603315687,22.4000548999024,7.88274844826737,10.6445698506981,19.7327194869177
"253769",526.289835651261,654.354147036633,564.481383477539,671.159725023907,655.705502803002,695.129891016419
"387263",591.215310703566,490.765610277475,459.649126545996,564.179567511707,428.976164983133,515.74153204444
"55274",628.59664482459,592.622623731291,577.025414221485,606.971630516587,505.617067908159,642.210325119685
"6991",187.890389924095,179.021417585494,206.976507275098,177.924893546606,200.117913193124,146.201512562163
"55780",217.401969493325,226.348918786257,205.184502883106,233.104132684478,208.633569073683,211.678263586935
"401288",32.4627375261526,39.0966314267171,33.1520812518555,38.2876353201558,28.7403385968848,43.053206153275
"80069",67.8766330092281,64.8180994706099,67.2001646997071,69.8186291132253,45.7716503580018,84.3125287168302
"105378150",2.95115795692296,6.17315233053428,1.79200439199219,2.25221384236211,1.06445698506981,8.96941794859896
"101929614",0,3.08657616526714,0,2.25221384236211,4.25782794027924,7.17553435887917
"28514",61.9743170953822,107.001307062594,121.856298655469,96.8451952215705,94.736671671213,215.266030766375
"84498",334.464568451269,282.936148482821,338.688830086524,382.876353201558,318.272638535873,334.559289482741
"105378157",4.9185965948716,0,0.896002195996094,0,7.45119889548866,0.896941794859896
"5689",2996.40904559578,2945.62252038661,2860.03900961953,2827.65447908562,2752.68576339053,2250.42696330348
"6908",309.871585476911,323.061638631294,327.936803734571,293.913906428255,395.977998445969,318.414337175263
"5134",968.963529189705,952.72317634579,998.146446339649,1005.61348061468,866.467985846825,861.96106486036
"107986677",0.98371931897432,2.05771744351143,1.79200439199219,1.12610692118105,4.25782794027924,1.79388358971979
"102723872",1.96743863794864,5.14429360877856,4.48001097998047,3.37832076354316,7.45119889548866,7.17553435887917
"105375114",0.98371931897432,3.08657616526714,3.58400878398438,0,6.38674191041885,3.58776717943958
"102723672",8.85347387076888,14.40402210458,3.58400878398438,9.00885536944842,7.45119889548866,3.58776717943958
"100507642",5.90231591384592,7.20201105228999,8.06401976396485,7.88274844826737,7.45119889548866,6.27859256401927
"56975",390.536569632805,448.582402685491,456.961119958008,444.812233866516,344.884063162618,441.295363071069
"105375118",4.9185965948716,8.2308697740457,8.96002195996094,11.2610692118105,0,9.86635974345885
"442497",0,1.02885872175571,0,3.37832076354316,2.12891397013962,3.58776717943958
"5154",1417.539538642,1415.70960113586,1617.28396377295,1640.73778416079,1460.43498351578,1927.52791715392
"441307",12.7883511466662,19.5483157133585,7.16801756796875,49.5487045319663,29.8047955819547,64.5798092299125
"5575",374.797060529216,434.178380580911,453.377111174024,370.489177068566,333.17503632685,365.952252302837
"101926963",2.95115795692296,1.02885872175571,1.79200439199219,6.75664152708632,1.06445698506981,4.48470897429948
"105375119",4.9185965948716,1.02885872175571,5.37601317597657,11.2610692118105,2.12891397013962,5.38165076915937
"54919",646.303592566128,653.325288314878,632.577550373243,588.953919777691,505.617067908159,691.54212383698
"23353",2842.94883183579,2871.54469242019,2613.63840572061,3168.86487620348,3505.25685183488,3175.17395380403
"51608",1575.91834899686,1788.15645841143,2015.10893879522,1651.9988533726,2051.20861022952,1614.49523074781
"11033",958.142616680988,895.10708792747,935.426292619922,953.812562240352,1036.78110345799,851.197763322041
"90639",767.30106879997,876.587630935867,916.610246504004,749.987209506581,883.499297607942,805.453731784186
"84310",514.485203823569,598.795776061825,611.073497669336,515.756969900922,437.491820863692,583.012166658932
"54905",91.4858966646118,104.943589619083,87.8082152076172,84.4580190885789,76.6409029250263,104.045248203748
"115330",55.0882818625619,65.8469581923656,68.0961668957032,33.7832076354316,81.9631878503753,65.4767510247724
"107986755",0.98371931897432,2.05771744351143,0.896002195996094,0,3.19337095520943,6.27859256401927
"105375120",2.95115795692296,3.08657616526714,6.27201537197266,0,3.19337095520943,2.69082538457969
"2852",3.93487727589728,2.05771744351143,8.96002195996094,5.63053460590526,18.0957687461868,8.07247615373906
"90637",1131.27721682047,967.12719845037,1008.00247049561,676.790259629813,628.029621191187,339.043998457041
"101927021",57.0557205005106,86.4241326274799,52.8641295637696,57.4314529802337,51.0939352833508,74.4461689733713
"79778",302.985550244091,386.850879380148,363.776891574414,435.803378497067,481.134557251554,429.63511973789
"107986756",2.95115795692296,3.08657616526714,6.27201537197266,2.25221384236211,10.6445698506981,8.07247615373906
"26173",968.963529189705,1168.78350791449,1173.76287675488,1002.23515985114,1049.55458727883,1109.51700024169
"7975",1567.06487512609,1569.00955067746,1421.9554850458,2278.11430154927,2085.27123375176,2203.78598997076
"100128653",72.7952296040997,45.2697837572514,54.6561339557617,102.475729827476,90.4788437309338,127.365734870105
"202915",1174.56086685534,1184.21638874083,1232.89902169063,1256.73532403805,1263.51044127786,1354.38211023844
"84262",213.467092217427,225.320060064501,278.656682954785,219.590849630305,248.018477521266,182.079184356559
"114796",30.4952988882039,40.1254901484728,38.5280944278321,42.79206300488,46.8361073430716,52.022624101874
"392617",54.1045625435876,34.9811965396942,31.3600768598633,56.3053460590526,70.2541610146074,34.083788204676
"105375124",12.7883511466662,9.25972849580141,17.0240417239258,21.39603150244,10.6445698506981,35.8776717943958
"101927125",70.827790966151,86.4241326274799,72.5761778756836,75.4491637191305,78.7698168951659,54.7134494864536
"8379",227.239162683068,273.67641998702,243.712597310938,233.104132684478,194.795628267775,259.21617871451
"100127955",0,1.02885872175571,0.896002195996094,1.12610692118105,0,9.86635974345885
"105375127",9.8371931897432,3.08657616526714,21.5040527039063,11.2610692118105,10.6445698506981,8.96941794859896
"105375126",9.8371931897432,18.5194569916028,19.7120483119141,10.1349622906295,43.6427363878622,7.17553435887917
"29960",207.564776303582,254.128104273661,260.736639034863,254.500164186918,217.149224954241,233.204866663573
"4521",205.597337665633,199.598592020608,225.792553391016,224.095277315029,184.151058417077,170.41894102338
"29886",335.448287770243,458.870989903048,483.841185837891,406.52459854636,335.30395029699,360.570601533678
"102465503",1.96743863794864,0,0,2.25221384236211,4.25782794027924,1.79388358971979
"8662",3623.03825178242,3982.71211191636,4419.08283065274,3306.24992058757,3205.0799820452,3470.26780431294
"55501",185.922951286147,211.944896681677,219.520538019043,197.068711206684,199.053456208054,304.063268457505
"3955",63.9417557333308,70.9912518011442,68.0961668957032,61.9358806649579,48.9650213132112,52.022624101874
"221927",548.915379987671,614.22865688816,636.161559157227,578.818957487061,604.611567519652,617.095954863608
"23288",277.408847950758,278.820713595798,285.824700522754,292.787799507074,262.920875312243,336.353173072461
"107986760",384.634253718959,236.637506003814,242.816595114942,259.004591871642,171.377574596239,247.555935381331
"80727",1753.97154573121,1804.61819795952,1583.2358803251,1892.98573450535,2343.93428112372,2019.01598022963
"155185",7.86975455179456,7.20201105228999,11.6480285479492,13.5132830541726,19.1602257312566,25.1143702560771
"2768",816.487034748686,801.4809442477,813.569993964454,760.122171797211,626.965164206118,816.217033322505
"221935",1.96743863794864,2.05771744351143,0.896002195996094,4.50442768472421,1.06445698506981,0.896941794859896
"221937",1256.20957033021,1383.81498076143,1543.81178370127,1206.06051258491,1300.76643575531,1436.90075536555
"9907",592.199030022541,591.593765009535,748.161833656739,713.951788028787,694.025954265516,764.194409220631
"100616465",0.98371931897432,2.05771744351143,5.37601317597657,9.00885536944842,5.32228492534905,2.69082538457969
"55698",7.86975455179456,14.40402210458,15.2320373319336,13.5132830541726,29.8047955819547,33.1868464098161
"441191",298.066953649219,324.090497353049,310.912762010645,308.553296403608,267.178703252522,238.586517432732
"100533952",21.641825017435,23.6637506003814,19.7120483119141,27.0265661083453,26.6114246267452,27.8051956406568
"57786",476.120150383571,439.322674189689,440.833080430078,421.163988521714,541.808605400533,438.604537686489
"389458",7.86975455179456,10.2885872175571,8.96002195996094,9.00885536944842,12.7734838208377,12.5571851280385
"645700",0.98371931897432,1.02885872175571,2.68800658798828,1.12610692118105,3.19337095520943,0.896941794859896
