"","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h"
"25932",3832,4823,3051,3837
"864",973,1289,934,529
"105376878",88,76,77,45
"25949",959,1294,1218,1036
"57035",1555,2072,1242,1513
"6007",22,32,29,17
"23585",1569,1976,1142,990
"6006",615,719,386,435
"55219",475,553,512,475
"26119",1285,1668,1033,819
"57134",138,147,85,52
"57190",3085,3864,4686,3004
"56181",521,728,587,522
"646471",243,326,242,270
"79000",329,486,326,189
"164091",522,656,626,509
"3925",5941,7675,3286,4341
"100500808",646,671,338,414
"5051",387,516,590,295
"101928216",14,8,10,6
"2134",9,13,22,15
"149420",273,324,163,274
"79927",10,9,17,15
"51042",575,740,688,416
"10256",826,1001,682,736
"64793",1417,1863,1109,1753
"83442",1837,2451,1882,1940
"91544",464,589,558,484
"55057",346,396,270,321
"79727",16,22,16,28
"79947",758,938,979,460
"101928324",12,16,20,5
"3151",4449,5505,4176,3875
"6195",1619,2202,1511,1530
"101928728",8,14,31,7
"8289",3169,4012,3084,1993
"55650",244,363,376,274
"84243",665,805,1104,921
"2810",5549,7186,5701,8266
"54707",910,1271,1125,824
"63906",244,276,336,213
"10726",2956,3768,3899,2541
"126695",378,497,431,366
"388610",1788,2249,2096,1149
"115572",598,799,193,647
"101928391",11,12,16,6
"6548",1098,1356,762,526
"23038",1632,2129,1920,1471
"84065",426,583,552,407
"644961",65,97,92,55
"84958",1006,1282,1251,1648
"9064",789,961,782,641
"8547",6,21,9,14
"388611",286,381,204,551
"2827",94,168,138,203
"10163",5243,6519,4870,6851
"27245",1802,2517,1591,1714
"2537",698,833,401,441
"199870",287,345,279,275
"23673",582,716,1009,833
"5511",936,1133,1295,896
"9473",537,498,323,445
"6118",1389,1825,1269,1022
"27293",358,458,425,220
"55113",335,465,346,263
"2140",843,1045,1216,1036
"5724",137,196,122,59
"22826",2204,2985,2359,1712
"93974",1805,2500,1598,1788
"83667",589,657,806,1280
"54797",549,634,615,511
"65979",1499,1783,1147,1008
"1104",3106,3819,2959,1919
"8420",898,1246,927,1136
"6080",86,67,93,129
"26768",28,42,47,40
"54952",608,818,427,444
"85028",955,1352,954,1162
"692212",28,43,17,37
"677838",171,216,150,247
"677825",26,26,29,32
"692073",54,61,39,69
"115273",24,22,18,28
"6883",683,901,461,511
"105378616",9,11,11,6
"10691",560,740,454,436
"51441",1746,2234,2144,1561
"4985",11,12,7,7
"2035",1633,2115,2140,2272
"399474",446,553,460,527
"6429",1820,2333,1375,1951
"51102",631,787,790,401
"10076",3191,4069,2325,2282
"4146",12,28,21,35
"100129196",42,53,39,75
"9672",2099,2931,2730,1918
"9698",2764,3337,3040,2152
"692234",18,36,20,25
"692235",22,41,28,29
"79570",29,27,37,24
"9410",1234,1574,1216,960
"51538",670,869,696,578
"2170",42,57,42,64
"347735",2969,3674,3039,2050
"105378626",204,198,181,188
"64129",4254,5226,2714,2634
"3061",44,66,60,41
"553115",426,616,532,492
"107985471",31,39,52,32
"1307",117,140,51,70
"576",1487,1776,522,966
"90853",158,197,206,211
"8073",5695,7591,4287,4298
"10657",4745,6014,5341,3345
"55116",407,595,414,386
"23633",3302,4037,4073,1515
"200081",1397,1846,1760,1319
"79140",106,162,65,120
"56063",160,162,168,166
"55721",119,154,124,113
"149069",47,43,68,55
"8668",4670,5914,5899,3638
"339483",129,178,159,135
"84734",16,11,32,13
"3932",8,18,12,3
"3065",4454,5687,5941,3997
"65108",2350,3010,2531,1506
"105378629",13,8,3,14
"81629",294,336,406,515
"100128071",153,179,180,259
"55108",1494,1744,2031,2094
"728116",88,108,71,106
"653121",366,448,420,417
"102723870",19,24,13,15
"339487",345,424,566,365
"5928",2653,3323,3204,2670
"81493",753,929,965,805
"57648",1671,2189,2862,2102
"8565",2659,3206,2785,3132
"64766",691,914,580,574
"252995",8,10,13,21
"105378631",15,4,9,28
"3208",46,40,45,57
"113452",1111,1308,1090,979
"127544",845,1167,565,819
"204",4553,5972,5175,4929
"113451",263,283,229,311
"112268224",10,20,27,6
"55223",501,578,454,443
"149076",253,334,251,148
"1912",5622,7244,6866,3748
"100500853",198,268,236,157
"101929464",24,29,59,15
"7579",491,649,591,352
"114784",18,17,21,8
"2709",93,104,161,160
"127534",63,81,63,108
"2707",1043,1403,991,1556
"113444",666,765,821,499
"653160",53,95,70,78
"100506144",229,246,265,218
"9204",619,763,603,544
"79830",1190,1465,959,765
"6421",10339,13163,8994,5025
"9202",1800,2213,1989,1269
"100861513",84,88,91,55
"79932",1622,2019,1983,1459
"23154",778,1078,1414,444
"339488",154,223,207,250
"105378645",55,88,49,46
"5690",4444,5859,4765,5394
"127703",400,520,741,256
"63967",1757,2401,868,719
"192670",605,781,613,547
"26523",2127,2794,2419,1665
"192669",1968,2457,1806,1412
"54936",605,883,644,497
"27095",1124,1532,1242,1042
"55700",3124,3989,3115,2046
"9967",4819,6120,5057,2677
"79729",700,930,509,845
"55194",860,1154,741,773
"83931",744,1025,1184,1373
"84967",476,643,496,519
"127700",84,109,98,47
"64960",993,1302,1113,767
"728431",64,91,34,35
"80149",309,419,279,248
"64769",1329,1699,1128,1337
"100847010",10,15,21,17
"105378649",55,59,76,40
"79753",808,1017,770,644
"7802",38,60,29,31
"29889",2116,3085,2047,1902
"284654",18,22,6,8
"54955",778,927,824,547
"55143",1555,2057,871,1134
