"","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h"
"105376294",12,11,21,22
"100272217",27,45,25,27
"8939",3768,4620,3483,2080
"59335",9,10,14,3
"23404",1307,1605,1476,849
"25",1746,2234,2204,1492
"347148",16,17,22,6
"84929",586,775,737,576
"10319",540,585,747,598
"83543",941,1226,1234,813
"8021",1222,1640,1156,820
"286336",96,151,179,76
"84726",5148,6866,6687,4772
"26786",7,14,12,6
"692093",32,27,23,37
"107987135",1246,1617,1627,1058
"10585",573,856,493,628
"105376301",7,16,15,9
"83549",486,605,392,251
"642515",10,3,18,4
"2889",1328,1740,2014,1462
"9442",672,840,584,548
"84628",84,97,103,93
"23064",3258,4168,2972,2299
"7270",473,630,440,330
"389799",30,35,34,39
"64794",561,699,854,649
"9329",1880,2351,2083,1290
"158067",27,50,83,32
"11092",150,175,149,201
"7248",1467,1883,1498,1136
"106635683",311,365,454,319
"105376306",12,8,14,10
"9328",2550,3141,2041,2723
"100996574",13,6,13,6
"1056",58,49,62,27
"5900",1102,1536,1607,1531
"28",19,28,61,39
"6838",1033,1434,1470,941
"6837",516,594,666,379
"6130",25744,33103,33206,29975
"26820",12,16,17,24
"26814",20,18,17,19
"26815",82,119,79,94
"26813",15,19,21,27
"6834",794,1166,1132,814
"6835",363,415,363,236
"6836",4075,5170,4476,2581
"169436",40,56,55,48
"57109",795,1004,963,582
"11093",581,752,759,847
"11094",211,290,280,125
"11182",604,725,441,289
"1621",34,49,47,14
"138948",21,34,51,19
"1757",224,291,256,118
"105376308",7,11,11,3
"7410",1495,1936,1522,1256
"266655",596,733,662,438
"8019",1094,1356,1522,1328
"100130548",34,27,34,24
"11091",1760,2154,2052,1486
"6256",1699,2064,2002,1218
"105376311",10,35,18,10
"10439",223,242,150,132
"100506599",32,41,43,20
"9858",1444,1804,1557,1627
"138162",115,187,164,139
"51116",1155,1440,1167,908
"101928525",423,462,508,336
"57582",15,20,29,21
"107987140",1,8,13,15
"157922",2866,3365,2702,2029
"107987141",67,61,87,35
"10422",1083,1226,981,847
"138151",1619,2051,2620,1311
"105376322",60,65,73,58
"105376323",12,26,35,38
"90120",855,1231,1187,381
"169714",2019,2607,2064,2063
"101928722",14,29,36,21
"399693",47,64,89,126
"26086",1170,1376,1110,947
"728489",251,377,238,265
"64170",23,26,37,6
"6621",1470,1841,1785,1517
"10807",1766,1950,1772,1859
"23203",2619,3291,3412,2764
"56623",838,1011,803,819
"9919",3192,4080,3168,2663
"158055",51,40,34,19
"4851",2443,3173,1941,2627
"100616301",7,30,27,54
"101928483",133,127,161,543
"51162",1185,1589,1304,1711
"10555",1439,1908,1221,1070
"138311",695,899,622,746
"84973",1179,1532,1347,1301
"677824",18,22,23,37
"677804",38,40,48,56
"85014",427,542,851,608
"84960",127,157,120,199
"100131193",108,123,94,135
"55684",2086,2609,2976,2271
"100422860",59,75,36,56
"389813",136,123,171,79
"29085",1403,2012,1525,1413
"158056",292,426,256,406
"8721",3612,4656,3503,3052
"7186",484,588,575,518
"54461",2197,2719,2236,1992
"733",52,51,45,37
"286256",17,34,39,59
"5730",23,26,11,38
"401562",4,15,1,36
"286257",978,1207,683,790
"9022",384,513,155,266
"20",5328,7313,5744,7912
"401563",18,34,17,40
"56654",1057,1513,1377,2038
"954",835,1114,918,1543
"105376327",18,30,13,36
"89958",2712,3584,2933,1790
"91373",706,802,657,632
"100289341",27,36,62,57
"11253",2036,2609,2188,2217
"101930307",622,734,546,1006
"29952",2870,3612,3093,3368
"2902",504,735,539,393
"389816",54,63,39,78
"29882",1851,2530,1421,1595
"8636",1222,1623,1314,1091
"286262",416,545,388,366
"94107",855,1056,931,604
"27158",1332,1699,988,1173
"727800",230,294,304,294
"375791",76,98,106,163
"643596",23,38,57,33
"142680",57,76,94,42
"10383",14703,18989,6382,11268
"401565",686,979,333,543
"100129722",15,24,17,61
"441476",28,26,15,72
"25920",2139,2810,2329,2189
"54863",1476,1876,1919,1499
"441478",532,720,655,423
"54932",416,529,531,633
"10811",802,1043,746,1324
"377841",145,203,73,189
"26012",3103,4056,3761,4573
"375775",163,285,218,357
"64975",1438,1935,1268,1140
"92715",893,1136,1059,1335
"116225",1171,1511,1139,1715
"92714",1224,1512,1383,1305
"85026",125,175,163,167
"79813",1608,2013,2047,1703
"651337",57,63,47,60
"774",114,166,185,121
"643224",109,138,112,52
"100132403",210,225,191,229
"112267861",61,82,61,83
"105376333",156,216,175,179
"10771",583,788,661,415
"107984190",26,39,44,24
"22982",976,1365,1534,1718
"105376340",16,5,2,14
"414235",29,33,30,41
"23185",4206,5550,3662,3662
"107984285",20,25,29,11
"23560",2237,2770,2957,2413
"91734",30,32,45,17
"55853",455,551,209,227
"3422",4029,5177,1711,3190
"22884",643,909,549,568
"105376352",19,16,29,17
"101927824",20,37,12,64
"5214",17010,21888,9444,15807
"106633806",16,37,15,27
"10531",2046,2665,1872,2046
"100507034",551,679,419,626
"1316",4080,5515,4988,5970
"83592",99,121,94,117
"1645",26,19,29,72
"1646",8,21,13,12
"8644",60,70,47,36
"79861",10,16,9,12
"10276",1674,2163,1194,1286
"79754",725,981,756,542
"54906",3302,4270,4102,2655
"2665",2665,3328,3403,2531
"54522",116,201,215,119
"84893",1701,2096,1891,1406
"105376384",184,199,229,182
"3601",135,154,189,156
"107984200",52,58,78,48
"84991",2138,2630,1586,1495
"5209",1374,1724,1768,1443
"399715",14,8,8,17
"5588",61,90,55,38
"439949",21,40,57,19
"108570035",23,29,50,103
"3698",26,20,17,19
"22944",432,497,359,264
"509",2660,3584,2903,2317
"105376392",314,445,313,251
"83860",347,369,353,284
"2625",63,89,70,64
"9712",1193,1524,1745,1029
"105376411",53,58,74,43
"105376410",20,14,21,14
"107984208",57,75,70,45
"79746",188,241,296,325
"254427",1010,1274,868,1122
"219731",111,159,92,111
"26019",1028,1297,1320,900
"55526",794,1021,857,914
"55176",727,879,650,647
"11164",1928,2343,2051,1420
"8872",2040,2724,2418,1527
"57118",856,1199,820,773
"83643",438,544,383,233
"10133",1618,2064,1113,1366
"55388",1372,1695,751,627
"5264",235,332,280,325
"22929",1253,1571,1105,791
"222389",467,551,429,326
"8559",1114,1251,829,837
"55691",345,383,291,310
"83641",1364,1708,1097,659
"441549",20,34,55,73
"51182",1054,1374,1022,877
"79723",324,518,389,235
"64421",578,659,517,328
"644890",9,22,12,24
"108949267",19,24,6,11
"414149",261,355,76,124
"221060",12,15,18,18
"10557",394,384,415,330
"105376431",11,10,19,14
"9397",820,1138,818,624
"107984210",101,154,115,73
"105376434",83,98,119,67
"221061",749,958,1300,712
"80013",627,768,807,409
"9317",555,705,662,224
"389941",43,58,49,13
"6251",770,1021,685,655
"8029",51,74,80,59
"1787",361,385,217,120
"100507347",10,18,15,22
"7431",80,115,48,48
"338596",93,98,86,42
"9200",229,251,165,190
"102723166",12,17,30,26
"8027",1320,1534,921,919
"653567",21,34,15,9
"783",167,204,146,151
"221078",428,431,411,376
"221079",2424,3389,1130,2011
"10529",762,945,789,707
"100128511",37,71,41,47
"399726",62,74,131,39
"387640",25,50,16,11
"8028",1154,1604,1361,1136
"107984214",11,15,4,8
"64215",789,1014,462,478
"105376447",12,9,13,6
"100532731",1403,1687,1069,946
"23412",450,559,354,290
"648",1216,1527,867,800
"100499489",13,18,30,9
"5305",2996,3945,2592,1720
"219681",41,36,57,14
"22921",224,280,273,187
"220213",272,344,239,306
"56243",395,527,756,663
"57584",1286,1696,1738,1524
"79896",224,237,426,319
"219670",3,13,22,27
"57512",52,53,94,47
"23590",459,627,377,247
"10006",1231,1519,1246,963
"387644",85,103,101,131
"22852",805,1020,834,901
"10730",4199,5494,4021,3387
"84930",886,1147,454,664
"91452",861,1229,874,829
"387646",38,40,32,9
"22931",1843,2276,1237,1238
"105376463",25,22,24,18
"283078",99,129,292,146
"55130",112,173,267,115
"112268060",14,10,24,8
"143098",1005,1288,1698,1177
"220906",303,312,365,192
"51322",3299,4399,3258,2849
"25805",319,339,238,164
"102724316",696,845,757,470
"6840",1367,1722,1400,884
"57608",1839,2365,2800,1043
"101929256",10,5,10,0
"55149",872,1099,974,779
"1326",185,200,176,97
"220929",101,119,110,133
"220930",85,98,92,132
"6935",213,226,188,180
"100505502",5,12,10,4
"94134",2931,3763,4324,2618
"107984219",380,504,384,229
"3799",7053,9013,5239,3765
"80314",291,464,391,259
"79741",95,98,76,97
"105376486",256,299,188,165
"3688",15138,19108,14154,13664
"106633814",687,904,686,712
"101929475",33,39,26,32
"8829",277,378,221,179
"56288",1328,1582,1343,1407
"8453",1361,1746,1263,954
"1390",340,452,459,231
"219771",1809,2485,1986,1620
"107984220",4,26,16,13
"57209",225,262,342,252
"107984224",17,21,9,10
"219749",130,133,198,249
"7581",484,671,624,585
"7587",658,871,1214,474
"158160",200,293,129,220
"101929540",72,102,72,113
"399744",137,137,111,165
"414194",263,330,360,208
"84856",208,242,367,187
"100129482",583,758,502,163
"7582",237,262,450,190
"105378268",10,24,28,14
"283028",27,44,47,16
"9790",2553,3166,3221,2483
"5979",373,455,354,298
"55454",599,843,361,526
"221002",823,1124,1088,1080
"105378271",6,2,17,13
"107984226",23,31,52,44
"3185",5825,7915,6926,5063
"642819",31,70,72,53
"105379857",12,8,10,2
"8187",77,106,81,51
"220992",70,76,101,56
"7580",83,76,116,104
"414197",16,20,28,16
"414208",23,29,36,37
"83937",108,170,117,86
"105378281",18,36,20,18
"11067",179,157,159,165
"220979",30,24,37,13
"7570",256,375,280,267
"240",141,162,138,150
"220972",749,988,613,460
"105378286",23,27,19,14
"93550",292,405,308,239
"653234",28,44,26,24
"253725",982,1374,1034,1010
"119016",212,285,237,198
"114004351",245,323,264,245
"728407",96,116,106,92
"100287932",1060,1568,1330,802
"8031",3041,4039,2508,2241
"653268",167,271,161,171
"107984026",208,310,207,166
"643650",23,13,7,8
"107987152",19,10,4,3
"9721",99,125,131,51
"83849",87,130,92,45
"101927699",42,66,51,14
"414241",28,37,20,33
"414212",3,8,14,18
"399761",219,315,219,168
"118738",139,219,128,101
"113939912",296,383,245,275
"642517",210,292,184,219
"107987147",399,411,304,392
"642826",313,444,302,275
"439965",425,566,323,386
"102724593",24,45,32,10
"102724488",125,146,128,54
"414224",83,96,76,73
"5599",1868,2294,1251,970
"58504",321,457,435,288
"2074",595,747,551,393
"267004",51,61,46,27
"55753",542,662,556,541
"8505",703,1005,749,573
"100652748",250,329,340,304
"113218477",346,479,459,391
"414189",230,306,317,250
"100421577",13,3,8,16
"387680",999,1316,1072,923
"56624",117,152,106,73
"259230",711,901,611,361
"104355295",28,50,35,15
"653308",437,568,475,437
"29974",25,31,21,10
"5592",42,49,48,41
"23283",784,938,978,663
"100506939",27,44,16,35
"22943",4807,6082,2997,7758
"101928687",22,34,52,36
"11130",1591,1943,1327,857
"253430",586,752,216,401
"55847",630,801,628,539
"7321",494,647,462,483
"7019",1709,2282,1568,1041
"220963",150,165,339,77
"8030",1505,1954,1903,1653
"288",305,412,375,283
"983",4155,5198,1979,2886
"9886",115,173,119,74
"219621",14,24,13,13
"84159",509,747,527,237
"219790",823,1117,262,341
"22891",225,289,151,110
"84890",1094,1258,1164,877
"1959",56,99,60,28
"29982",571,754,654,396
"221037",2855,3591,3052,2398
"84989",82,89,72,55
"221035",2933,3592,3951,2565
"105378329",14,35,17,17
"101929846",14,6,10,12
"101928913",65,80,80,88
"56521",77,79,81,24
"23411",843,1085,663,481
"26091",1644,2141,1462,1396
"84665",19,21,44,16
"64081",76,93,66,48
"3189",1911,2449,2274,1982
"55680",769,963,883,781
"1763",763,842,469,348
"8034",359,442,345,357
"80312",301,376,188,99
"55749",2390,3238,2307,1992
"692211",8,19,10,6
"219736",180,171,149,64
"79009",1082,1221,945,1253
"9188",5183,6628,6045,4435
"26128",938,1315,856,419
"9559",1554,2086,1647,1504
"6832",738,950,877,730
"80201",22,52,18,35
"3098",4502,5653,3532,4113
"23555",459,695,420,597
"219738",269,392,319,465
"1305",752,1054,622,567
"107984242",177,186,103,91
"55506",616,694,851,527
"84883",938,1260,1078,974
"219743",321,359,462,366
"56681",2070,2604,1694,1347
"5464",3913,5042,3350,2720
"55222",867,1239,732,810
"1979",4243,5324,2083,2084
"4838",33,25,36,20
"27143",2654,3239,3505,2729
"5551",305,306,698,140
"140766",993,1233,2768,2768
"219793",12,4,13,30
"8879",3132,4147,2816,2274
"5092",1356,1954,2093,1392
"219699",2019,2396,1938,1377
"728978",31,60,49,69
"107987148",10,4,14,6
"112268061",49,59,64,59
"55315",229,238,207,109
"105378353",14,10,20,9
"64072",25,14,16,16
"64115",749,1013,635,291
"5660",15521,19500,21401,21218
"9469",437,589,664,321
"9806",82,79,131,61
"51008",671,862,778,772
"119504",1324,1530,1432,1074
"54541",10777,14097,6646,9730
"54788",444,571,590,308
"10367",1130,1432,1069,1147
"90550",832,965,774,680
"5033",3325,4298,2944,5575
"25961",96,138,167,113
"109617000",7,23,15,13
"11319",648,803,680,481
"317662",875,943,707,737
"23234",1016,1211,743,554
"414245",125,123,116,111
"51021",1376,1842,1756,1191
"118491",184,245,237,290
"310",1698,2137,2450,2384
"118490",86,141,105,75
"5532",1116,1316,1214,773
"101929145",104,128,118,64
"159195",648,883,749,403
"113939925",305,323,279,330
"729092",122,145,137,122
"729096",144,147,121,165
"2749",47,55,64,36
"9632",3053,3811,3313,3572
"170384",1069,1275,743,1219
"107984243",27,31,26,20
"118487",673,840,615,421
"23053",2364,2975,1829,1802
"100507331",420,521,369,337
"8509",584,744,476,533
"818",1229,1597,1382,1483
"5328",578,738,735,547
"414236",172,192,198,193
"7414",8291,10257,5992,6607
"107984244",18,12,12,7
"26985",1371,1778,1513,1163
"132",1154,1553,1204,1316
"23522",599,726,572,553
"51207",10,8,47,36
"142891",1824,2220,1318,1406
"7417",4007,5172,3962,4088
"118881",289,453,477,336
"84858",2844,3792,4229,2069
"253264",32,58,96,104
"100131213",241,326,319,165
"101929234",24,31,22,32
"107984293",12,9,14,13
"83938",44,52,51,37
"9231",1912,2601,3138,1701
"100128292",64,50,35,23
"11128",1520,1978,1877,1486
"6229",15927,20644,16665,14869
"283050",22,22,41,39
"57178",2501,2961,1781,1627
"107984247",236,257,173,144
"10105",1522,2075,1503,883
"219654",412,530,606,535
"143244",284,379,279,256
"101929506",17,24,21,23
"650623",403,548,378,308
"101060691",218,250,251,217
"107984248",65,81,69,49
"729262",67,97,112,84
"642361",73,87,105,58
"283008",68,110,111,69
"100288974",16,22,16,6
"8512",20,21,28,3
"219347",43,61,92,67
"80195",172,200,249,246
"219348",51,66,52,55
"311",5720,7250,5889,4873
"439990",187,224,298,289
"100130698",20,42,33,18
"4143",68,60,43,15
"84293",132,173,188,153
"81619",3041,4040,3525,1967
"101929574",9,17,23,9
"387694",10,12,14,11
"27069",4465,5638,4331,6147
"54462",1132,1252,898,1025
"2894",187,208,191,212
"23063",2190,2862,2215,1546
"11155",14,23,24,5
"657",944,1265,764,741
"79812",1194,1538,1449,2297
"6623",494,737,1206,1107
"10974",818,1103,1177,1716
"119385",862,1150,1250,1651
"643161",31,35,13,61
"2746",3634,4598,3718,6029
"54537",1004,1194,1104,1644
"105378410",29,46,49,45
"728118",217,224,294,223
"728190",192,253,250,163
"439994",146,191,202,133
"728130",103,130,163,104
"112268063",33,31,42,19
"112268064",10,24,11,11
"9562",867,1060,783,324
"9060",765,970,638,499
"84896",1634,1858,1137,1663
"142913",7,12,19,17
"100144748",37,60,95,24
"5728",2041,2623,1835,1254
"107987150",91,63,54,78
"118932",37,51,63,30
"57559",250,346,317,138
"100132116",17,32,66,35
"59",56,77,185,115
"355",368,547,525,302
"3988",1358,1590,1373,1073
"3433",37,56,61,18
"3437",30,41,47,9
"3434",164,241,142,54
"107984251",39,42,43,28
"24138",470,522,551,237
"53354",188,262,258,155
"105378421",4,4,17,14
"283011",32,40,39,23
"9585",1289,1773,885,842
"3363",369,481,851,532
"10556",924,1071,680,613
"84333",1428,1844,1259,1214
"143279",213,265,223,70
"100507633",26,14,26,17
"80351",2044,2688,1770,1250
"143282",31,41,57,20
"9044",3168,4211,2897,2986
"22849",468,648,452,518
"54708",1329,1706,1490,1525
"3416",1739,1896,1780,1487
"3832",2197,2812,1020,1255
"3087",253,278,281,207
"54536",500,603,435,292
"1592",11,17,11,5
"26509",10110,12828,19305,12920
"55165",2653,3308,1548,2118
"5146",30,27,21,31
"118924",648,918,697,779
"159371",303,398,363,129
"266971",35,49,35,32
"51196",426,516,410,336
"64318",1057,1338,1234,1017
"23232",421,556,410,347
"3070",3413,4430,2077,1714
"1559",6,10,4,10
"1558",13,13,11,6
"107984258",12,9,11,16
"9124",1831,2315,1289,1364
"10580",414,518,233,165
"5832",2018,2801,2783,2108
"26123",909,1132,1189,724
"953",649,837,799,534
"728558",26,33,42,30
"387707",43,61,48,40
"54619",685,795,681,362
"9849",1510,1945,1644,1286
"29760",12,24,13,10
"7093",52,63,34,18
"56889",3434,4272,3507,2717
"105378443",65,87,84,18
"118788",392,452,349,113
"728658",1609,2081,2032,2065
"102723665",56,61,43,43
"84458",2590,3279,2151,2379
"6585",49,74,34,68
"100533184",206,267,206,310
"105378447",16,26,10,20
"84986",1010,1313,1004,1631
"10023",76,57,53,20
"23401",116,156,246,249
"23223",1229,1540,2147,2261
"644215",22,43,31,26
"5223",14325,18235,14004,15039
"51013",693,897,576,504
"84287",503,632,794,511
"64210",2192,2912,2577,2014
"80019",496,676,461,399
"112817",48,53,57,19
"118812",124,153,205,206
"55361",1851,2185,1502,2239
"60370",468,570,381,830
"83742",833,1109,1488,1323
"118813",862,1191,997,982
"107984260",12,12,15,4
"401647",211,241,162,139
"55118",12,25,8,11
"27291",425,544,408,438
"84171",121,147,194,114
"84795",379,491,545,483
"3257",923,1137,1025,764
"101927278",29,25,18,18
"2805",2304,2934,1822,1987
"107984261",56,79,25,38
"101927300",153,123,106,157
"81894",1005,1294,965,1015
"105378450",8,24,9,10
"57089",984,1280,827,601
"1355",1859,2326,3176,2879
"51076",653,905,911,949
"1244",1008,1255,3456,1648
"23268",5134,6731,4976,4191
"100188954",551,668,556,495
"10613",1744,2184,2235,1399
"1147",2123,2501,1585,1112
"55280",916,1245,725,645
"282991",1468,1950,1725,1155
"9033",45,54,41,47
"6319",37846,47539,31007,30807
"90271",361,547,362,547
"7479",77,106,113,129
"105378452",99,102,135,108
"25956",1430,1684,1246,2052
"4714",3624,4818,3293,1763
"55662",3955,5035,4049,2724
"5076",243,322,280,173
"55719",1782,2219,1445,1419
"57715",911,1202,1272,1119
"84545",1736,2287,1812,1549
"56652",912,1259,1996,1004
"84445",2281,3021,2856,2192
"79955",598,789,667,613
"81855",2538,3253,2082,4143
"107984262",90,93,66,74
"81621",172,214,190,238
"8945",1338,1775,1384,767
"27343",760,926,1026,862
"25911",540,812,861,847
"6468",551,749,755,536
"2253",13,13,20,18
"10360",1316,1738,2509,2221
"10724",5674,7483,6301,6804
"100289509",57,86,77,69
"30819",248,324,310,266
"107984029",49,76,65,41
"79591",1038,1269,1247,796
"101927445",13,21,19,8
"79803",1096,1404,1442,703
"8861",2348,3036,3465,3188
"23082",1611,2201,2632,2037
"9221",3674,4745,7718,6817
"83401",231,263,146,93
"5309",188,215,108,48
"8729",4390,5430,4596,4585
"107984263",87,76,88,72
"4791",4324,5615,3824,6322
"5662",393,418,377,273
"79176",699,941,770,685
"79004",1491,1975,1693,1546
"100505761",165,224,291,300
"79946",109,111,138,153
"79847",1390,1779,1501,1210
"10121",2758,3475,3133,2077
"51684",1187,1355,1331,702
"81603",1695,2246,2203,1740
"105378460",232,295,287,235
"403",1026,1368,998,790
"118980",272,346,605,141
"54838",1179,1423,1134,793
"1586",5,11,3,15
"100528007",94,121,113,70
"119032",285,375,343,151
"57412",43,50,33,30
"107984265",13,18,17,6
"54805",1414,1825,1485,1203
"22978",1190,1683,1478,1311
"84108",536,662,671,454
"6877",711,787,691,695
"84833",1682,2339,2002,1720
"100302174",47,46,52,34
"22984",4035,5130,6501,3758
"51063",582,747,687,452
"119395",50,70,11,15
"9148",223,343,158,216
"9644",1010,1329,1211,1004
"100505839",21,8,13,9
"79991",1090,1384,3279,2012
"102724351",35,63,80,106
"9748",2904,3693,3748,2441
"1308",49,67,167,58
"119392",602,873,854,837
"80217",193,221,283,301
"9446",1987,2690,2271,1782
"119391",1388,1720,2261,1220
"85450",1055,1307,845,554
"159686",60,74,35,49
"100505869",2,19,7,11
"7511",2934,3731,2823,2787
"100505933",75,96,66,76
"120",1921,2336,1396,1992
"4601",2696,3430,2342,2715
"105378480",17,30,32,60
"10285",1343,1844,1359,1344
"105378482",19,31,20,5
"105378481",11,13,12,6
"1847",12521,15224,5513,10644
"9126",2864,3836,1806,2023
"282996",543,612,467,278
"112268066",11,15,12,6
"282997",10,15,7,18
"27250",1546,1975,1564,1875
"100616113",74,93,75,81
"92482",360,515,304,317
"8036",1273,1517,1290,1012
"644511",12,6,11,13
"150",20,57,10,11
"57678",735,1011,1118,585
"51703",2479,3064,8079,3886
"64429",2688,3460,3761,3087
"143187",1493,1960,2161,1384
"105378487",11,10,6,9
"112268058",124,141,213,123
"103344931",511,678,846,630
"107984158",119,120,176,122
"6934",4384,5387,5025,5079
"106635520",10,9,13,5
"840",546,672,1338,968
"9937",575,724,494,382
"374354",2505,3135,1986,2217
"153",74,113,53,54
"55088",1597,1926,1179,1425
"100302224",32,47,26,30
"84632",107,134,27,24
"3983",4958,5861,5465,3133
"57700",1609,1928,1041,857
"142940",1294,1700,1469,1008
"26033",39,32,33,12
"105378499",43,74,90,39
"259217",1169,1381,1482,1150
"113218494",10,16,9,4
"387712",548,664,759,549
"57698",3751,4490,4599,2728
"6571",202,230,206,182
"118987",2578,3328,2391,1978
"22841",945,1105,665,647
"255082",73,83,80,87
"63877",1413,1650,1233,1088
"143384",4595,6071,3470,3293
"340719",103,142,71,36
"8661",14540,18419,14262,12945
"641451",14,11,10,8
"404636",808,1119,667,840
"119559",829,974,1093,805
"10935",5802,7787,5542,4664
"2869",615,816,505,604
"101927868",10,18,4,7
"6001",1636,1927,1585,1521
"7073",3451,4758,3216,3935
"105378512",237,255,211,210
"9531",2612,3427,2464,2257
"22876",1499,1818,989,1374
"105378513",50,54,36,57
"79892",4149,5010,3387,2528
"11196",2536,3113,3212,1749
"105378516",32,43,55,22
"55717",2337,2926,2107,2066
"105378519",72,96,89,68
"2263",849,1014,683,346
"11101",1129,1614,1122,589
"100130887",15,21,13,11
"54780",1044,1227,1031,1112
"10579",814,979,1208,670
"118663",8,4,12,11
"59338",1904,2481,1938,1303
"5654",13,10,7,8
"105378526",41,69,41,27
"1755",30,52,22,5
"100533195",31,41,39,34
"50624",10,18,14,2
"196792",43,36,38,51
"399815",58,58,50,44
"80007",569,680,468,441
"118672",93,135,95,70
"64376",892,1094,893,772
"36",775,1151,834,553
"9184",6461,8213,4459,5033
"107984275",62,55,63,63
"105378531",86,80,149,122
"107984128",25,35,38,23
"51363",3883,5185,4742,4719
"4942",3764,4779,3582,3579
"390010",163,208,156,67
"64077",639,768,823,722
"105378539",206,241,263,183
"9679",836,1107,1004,602
"399818",841,1069,668,840
"23172",815,1045,966,819
"54764",1086,1431,962,968
"1488",4075,5058,3753,3032
"105378541",3,13,5,14
"105378542",8,17,13,26
"283038",24,22,28,33
"107984277",7,13,18,9
"399821",26,42,42,37
"26098",1380,1649,1221,680
"101927983",57,100,91,59
"7390",1251,1579,1461,718
"56647",2208,2868,2374,1866
"55760",1500,1879,1568,1543
"92565",449,561,526,584
"8038",13,25,24,15
"105378550",89,77,93,34
"1793",1825,2174,2612,2128
"105378552",46,50,78,67
"642938",21,17,36,19
"5791",848,975,722,547
"105378553",18,18,13,19
"4288",15954,20159,7722,7670
"4255",186,231,335,207
"107984280",16,5,9,12
"253738",59,48,33,16
"105378558",12,15,2,2
"387723",4,5,12,20
"119437",14,7,22,10
"102724883",4,12,5,12
"10539",1243,1596,1132,927
"107984002",8,10,14,11
"55844",1499,1788,1087,1593
"664",2483,3292,1382,2984
"10570",405,532,241,307
"282974",444,588,517,615
"80313",74,99,115,170
"170394",319,372,352,335
"105378568",5,11,10,11
"170393",5,4,22,16
"3632",246,327,304,208
"84504",71,90,83,52
"54777",112,112,82,89
"85442",192,265,262,177
"101",57,75,82,73
"10844",1376,1864,1474,1442
"118472",340,477,256,323
"118471",10,11,20,7
"282969",177,223,225,107
"1892",1076,1528,1652,1009
"196743",71,114,118,108
"92170",428,528,525,405
"503542",79,98,83,89
"619207",205,338,135,235
"105378576",27,53,17,44
"1571",37,46,13,9
"399833",8,12,10,10
"100133161",361,452,287,336
"112268070",79,114,86,123
"388572",37,47,34,35
"101930129",14,18,12,15
"51272",962,1241,1221,1291
"60626",1284,1603,1351,1178
"23410",682,800,618,625
"5719",3402,4426,4459,4735
"171389",17,24,32,32
"80162",1324,1661,1392,2055
"10581",896,1149,1018,660
"8519",242,278,323,200
"10410",3677,5114,4104,4106
"338707",1271,1660,1076,1633
"11187",2585,3173,3149,2970
"59307",887,1179,728,935
"338440",2215,2758,1663,2280
"105376506",176,227,154,240
"81490",1065,1398,1091,985
"6050",2276,2855,2555,2639
"115399",414,491,350,379
"101059906",20,32,24,12
"3265",976,1470,1000,733
"256329",437,638,448,954
"692247",75,87,59,185
"8045",1212,1456,1024,2432
"100506211",361,434,259,715
"406992",16,11,13,18
"143666",107,120,98,142
"57661",2983,3916,3283,3653
"3665",600,714,318,967
"53841",184,236,233,206
"6343",76,72,72,73
"1815",56,89,66,87
"10522",668,769,766,767
"283232",145,196,234,166
"64787",3842,4793,3837,4643
"6888",3332,4216,3168,2998
"347862",1907,2392,2197,3092
"171391",100,132,98,118
"51286",38,64,22,12
"79751",1709,2020,2073,1504
"101927423",42,67,49,46
"55367",1143,1491,752,976
"6181",18937,25264,19459,18820
"619565",34,37,28,36
"57104",3398,4074,2218,4216
"283229",137,239,193,228
"977",4287,5551,5253,6067
"5441",2345,3191,2022,1356
"7106",852,1034,782,889
"66005",1202,1571,1262,918
"161",2310,3057,2101,1606
"4588",21,50,68,46
"727897",65,97,66,52
"54472",909,1172,1103,748
"105376512",43,61,45,47
"255512",11,27,18,37
"9024",505,654,647,794
"107984298",27,31,37,38
"105376514",29,30,33,64
"81532",587,754,558,553
"1850",409,541,635,387
"402778",53,58,32,16
"1509",2772,3559,4248,6924
"90019",5,9,14,22
"4046",1,13,10,4
"6150",665,822,743,604
"100133545",22,39,35,88
"104355220",11,15,14,35
"103344718",36,54,36,67
"283120",96,155,61,76
"100033819",8,14,6,11
"3481",412,515,395,356
"723961",363,451,344,308
"51214",15,7,8,14
"101927682",369,466,422,459
"975",4499,5743,4424,3996
"10078",610,815,660,691
"3784",181,232,190,131
"10984",386,382,370,360
"1028",1034,1416,557,2440
"5003",122,162,195,249
"5002",417,480,640,1147
"7262",3811,4792,4673,4978
"4676",3615,4526,3790,3340
"833",1115,1536,1380,1950
"100852407",186,206,232,332
"114879",734,953,1471,1016
"107987158",36,29,46,29
"7748",536,692,616,468
"105379880",9,10,14,5
"105376526",9,14,22,4
"116969",66,93,89,69
"57053",97,83,104,78
"4928",3764,4920,3355,3066
"27315",616,815,890,747
"391",698,856,760,457
"105376527",38,64,23,22
"6786",861,1183,723,633
"100616453",25,26,27,20
"6240",2525,3421,2269,2613
"6737",248,403,399,186
"55128",186,259,235,188
"3047",25,11,13,20
"3048",45,39,38,37
"3046",707,1004,1265,1490
"79339",343,369,612,223
"79345",140,143,258,137
"282763",1513,2039,2913,2078
"390058",51,28,48,27
"390059",34,23,53,28
"79470",26,19,75,43
"390061",33,45,63,26
"390063",29,24,56,30
