"","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA control for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h","HCT116 cells transfected with siRNA targeting KIF26B for 48 h"
"8718",512.589333472925,519.402722801015,592.936718538202,815.913848292633
"57449",2238.54936098825,2227.87834559932,2051.56104614218,2997.52040402787
"79707",1590.79448319184,1684.7921653121,1386.48369351516,952.483119036894
"3104",634.238323364066,650.88674539687,629.501149514724,804.241261049534
"9903",1169.70182587635,1185.80621620609,1842.05673892535,2087.05859906613
"107984913",7.27814469434174,13.8834061126058,22.7292408772977,5.83629362154959
"148479",1251.84088742678,1225.00642170051,1055.427358998,1084.38335488391
"90326",754.847578298871,742.353891550508,720.418113023915,772.725275493166
"55735",1573.11898893415,1627.62519896607,1734.33990172424,1400.7104691719
"23261",1232.08592325642,1200.5062932665,794.53520284119,947.814084139654
"105376689",58.2251575547339,86.5671204668359,52.3760768042078,91.0461804961737
"9341",2113.78116622811,2085.77760068206,2431.04054600663,2503.76996364478
"8863",152.841038581176,164.150860507868,161.081141869545,165.750738852008
"10911",38.4701933843777,39.2002054944162,40.5173424334438,31.5159855563678
"3604",80.0595916377591,56.3502953982234,45.4584817545955,5.83629362154959
"11315",4502.05236092853,4672.17449236574,4521.14247885379,4338.70067825997
"54206",34996.4388952641,34225.8627513644,32902.0585116848,47866.9457665012
"102724539",9.3576146070108,5.71669663460237,16.7998736919157,18.6761395889587
"50651",886.893917753357,820.75430253934,895.334444992684,1042.36204080876
"473",2008.76793563832,2077.61089120406,1728.41053453886,1634.16221403389
"2023",78473.9958293489,80086.8364960402,66645.0989358296,112015.983478401
"102465436",13.5165544323489,21.2334446428088,13.8351900992247,17.5088808646488
"100505975",14.5562893886835,8.98338042580372,38.5408867049831,19.8433983132686
"80045",536.503237468619,580.653043886041,541.548869598224,458.732678653798
"106614088",163.238388144522,169.86755714247,318.209372282168,207.772052927166
"102724571",10.3973495633453,15.5167480082064,19.7645572846067,38.5195379022273
"9563",1546.08588006945,1483.89111215322,2088.1254771187,1889.79187465776
"80176",636.317793276735,675.38687383088,551.431148240527,573.12403363617
"84275",646.71514284008,650.88674539687,640.371656021258,564.953222566001
"199953",792.278036726915,766.037349036718,940.79292674728,610.476312814088
"107985734",25.9933739083633,22.8667865384095,36.5644309765224,19.8433983132686
"5293",862.980013757663,895.888029736971,902.252040042297,1064.53995657065
"101929074",111.251640327795,113.517261744247,146.25772390609,124.896683501161
"22883",5793.40317669602,5784.4803232698,5580.52274930871,4999.36911621938
"56998",688.304541093461,650.070074449069,863.711153337314,731.871220142319
"105376717",82.1390615504282,62.8836629806261,99.8110142872639,85.2098868746241
"84328",794.357506639584,772.57071661912,658.159757577404,709.693304380431
"64802",361.827764804418,351.168507554146,399.244057149056,248.626108278013
"113391335",13.5165544323489,4.90002568680203,24.7056966057584,10.5053285187893
"116362",390.940343581785,403.435448213367,368.608993357915,406.206036059852
"10277",1821.6156434981,1923.2600820698,1341.02521176057,1770.73148477815
"23095",3148.31744778097,3236.46696613274,3296.7281550724,3876.46622343324
"105376725",9.3576146070108,18.7834317994078,10.8705065065337,19.8433983132686
"5226",3915.64184555585,3815.48666812318,3858.04158195523,3623.17108025799
"100526739",167.39732796986,150.267454395262,182.822154882612,116.725872430992
"378708",177.794677533205,167.417544299069,181.833927018382,120.227648603922
"1325",22.8741690393597,13.8834061126058,19.7645572846067,9.33806979447935
"1676",2106.50302153377,2227.87834559932,3239.41093894704,2370.70246907345
"5195",672.708516748443,758.687310506514,756.982544000437,639.657780921836
"54897",687.264806137127,754.603955767513,517.831400856696,638.490522197526
"23435",4918.98607841868,4843.67539140381,4511.26020021148,4425.0778238589
"10747",76.9403867687555,74.3170562498308,102.775697879955,72.370040907215
"6723",1382.84749192493,1350.77374766176,1828.22154882612,929.137944550695
"5394",2346.68179644704,2355.27901345618,1832.17446028304,2399.88393718119
"105376736",97.7350858954462,110.250577953046,96.8463306945729,94.5479566691034
"2475",2889.42344365367,2833.84818886717,2658.3329547796,1904.96623807379
"100873935",44.7086031223849,54.7169535026227,67.1994947676629,44.3558315237769
"10218",8.31787965067627,8.16670947800339,14.823417963455,9.33806979447935
"29914",374.304584280432,365.051913666751,477.314058423252,368.853756881934
"57540",84.2185314630972,92.2838171014382,100.799242151494,64.1992298370455
"112268221",12.4768194760144,7.35003853020305,12.8469622349944,5.83629362154959
"26232",2046.19839406636,2221.34497801692,3131.69410174593,4672.53667341261
"93611",1745.71499168568,1697.0422295291,1625.6348366589,2873.79097925102
"26270",399.258223232461,369.951939353553,409.126335791359,520.597391042224
"10459",1586.6355433665,1572.90824546345,983.286724909184,1345.84930912934
"374946",253.695329345626,250.717980974704,85.9758241880392,57.195677491186
"57085",693.503215875134,786.454122731726,796.511658569651,680.511836272683
"284498",142.443689017831,102.900539422843,110.681520793798,173.921549922178
"4524",533.384032599616,468.769124037394,518.819628720926,742.376548661108
"1185",752.768108386202,806.870896426734,548.466464647836,1049.36559315462
"100379251",136.205279279824,133.117364491455,118.58734370764,168.085256300628
"4878",40.5496632970468,40.8335473900169,47.4349374830561,45.5230902480868
"90231",2868.62874452698,2947.36545061142,2622.75675166731,3289.33508510535
"5351",7380.03872006252,7595.03981454315,6164.56541706884,9943.8770723962
