"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4609",7593.02853133293,0.971679122535209,0.199470627393134,4.87128924811642,1.10872386121547e-06,0.000292496388132521
"4288",12408.792778278,-0.994971947444967,0.20596176525456,-4.83085754394862,1.35946249268568e-06,0.000350089311870344
"9965",684.544232501151,1.28103786362812,0.265278664046905,4.82902712221747,1.37201721966534e-06,0.000350089311870344
"4254",14573.0328969456,1.25134553226345,0.260216476864766,4.80886355599139,1.51790764894467e-06,0.000381068267029416
"100532742",203.11750896823,1.61872392283505,0.337588199656564,4.79496595106646,1.62702463605462e-06,0.000401978388256986
"57402",3245.43981768982,1.23908478123259,0.259076968621867,4.78268982312004,1.72964918953137e-06,0.000420656088047747
"79801",1684.31129713113,-1.11664444631257,0.234287221500902,-4.76613465795987,1.87793775003988e-06,0.000439438528463361
"649446",138.062577262217,1.60893955559187,0.337680809427525,4.76467572533816,1.89157606212947e-06,0.000439438528463361
"166",3822.97533359026,0.96718097361854,0.202823607995783,4.76858183904631,1.8552730403087e-06,0.000439438528463361
"4199",1179.83331065377,1.16985820042745,0.245805739857176,4.75927942572535,1.94285313618453e-06,0.000441980266096077
"3909",609.176279733223,-1.33548508913701,0.280707003772322,-4.7575766589002,1.95930860010468e-06,0.000441980266096077
"3783",2497.60701259661,1.25221645318555,0.264463173008739,4.73493696282683,2.19123193472552e-06,0.000487236072342895
"6653",2334.98166165527,-1.02088622409317,0.21611818605176,-4.72374048081576,2.31545862677531e-06,0.000507607232757151
"80315",857.491279910031,-1.0770481082105,0.228812767410896,-4.70711543065412,2.51246654922644e-06,0.000528466781604183
"117854",171.9302719367,-1.49947875325649,0.31839141351586,-4.70954520003661,2.48270153805699e-06,0.000528466781604183
"5155",1118.03969069205,-1.06716334979226,0.226514449928812,-4.71123740727201,2.46217204886216e-06,0.000528466781604183
"3977",1044.90852153346,-1.0449542507579,0.223180800582414,-4.68209742070547,2.83954466675198e-06,0.000581546220236771
"28962",383.881905025977,-1.26821177533413,0.270760872698373,-4.6838812517306,2.81493127360555e-06,0.000581546220236771
"3014",3467.80090928779,-1.1563662454736,0.247118506415779,-4.67939962184784,2.87716175376794e-06,0.000581597697368805
"2181",3663.89245937669,-0.932296090800334,0.199784637572876,-4.66650540365126,3.06365592055202e-06,0.000605885626957212
"10749",3390.7802711227,0.995560488082046,0.213377014649924,4.66573444996128,3.07516636875167e-06,0.000605885626957212
"50515",907.943423513492,-1.09765140957907,0.236379990634511,-4.64358851454668,3.42409195795869e-06,0.000666199891570338
"3976",3379.84073466649,0.929205100982247,0.200335080344157,4.63825456523121,3.5136385531217e-06,0.000675182519498016
"51200",4468.22688269276,1.36724517153439,0.294970720003543,4.63518945717042,3.56610713501579e-06,0.000676908018981961
"1244",1852.98318797936,1.36522179235812,0.29513070021961,4.62582100520971,3.73117430483672e-06,0.000699707566925102
"4603",675.516960058245,-1.55830625269659,0.339594092246499,-4.58873192518752,4.45946667339479e-06,0.000826328556802261
"57405",540.846696548478,-1.13762360463902,0.24894422322943,-4.56979314434852,4.88205845640797e-06,0.000883595812488257
"6666",1471.62387661263,0.969448777325702,0.212047493305156,4.57184738293782,4.83443006579702e-06,0.000883595812488257
"3673",6815.03491554696,-1.22696185173048,0.268789260536724,-4.56477260021647,5.00036060890737e-06,0.000894604745720037
"1979",3312.64934211752,-0.964013228783795,0.212061023738531,-4.54592367700918,5.46948549939464e-06,0.000960672902760615
"6768",5577.73325040952,-0.927289057893876,0.204128964841083,-4.54266281424482,5.55480637638647e-06,0.000960672902760615
"4493",5995.70702610564,1.00471733433335,0.221095838360647,4.54426162782168,5.51281523569063e-06,0.000960672902760615
"595",30376.3230903222,-1.31210218738609,0.289308945579047,-4.53529767204376,5.75222985200232e-06,0.000983884149960616
"84263",929.691091423295,1.0193178239827,0.224983917254651,4.53062528389071,5.88093671373949e-06,0.000993121390189997
"51512",1627.2121061591,-0.944459272083461,0.208548238063835,-4.52873292458299,5.93384447720332e-06,0.000993121390189997
"51703",4399.91076464969,1.30154669309,0.287839536854466,4.52177872196922,6.13221457963905e-06,0.00101540340353279
"57761",658.923198208109,1.51694406775602,0.336053420799813,4.51399680487009,6.36171755286308e-06,0.00104231719695067
"4720",1673.95517134993,0.952296909723541,0.21171679110421,4.49797536018202,6.86036457983478e-06,0.00110661167631182
"84632",68.8454772626744,-2.01335486050932,0.447724267808297,-4.49686337165753,6.89632718292624e-06,0.00110661167631182
"301",9434.35800944128,0.896576407440918,0.19976438549407,4.48816942631414,7.18377883111914e-06,0.00112420518219584
"26298",1458.06221876895,1.11629526482228,0.248707128699264,4.48839271580389,7.17625481864302e-06,0.00112420518219584
"170261",121.604348978849,-2.18186397203611,0.486261313025943,-4.48701945556525,7.22264813489136e-06,0.00112420518219584
"113622",290.553245524221,1.61936708619293,0.36165341444134,4.47767675218669,7.54597443400751e-06,0.0011629019016369
"8544",220.163901049454,1.47487197346492,0.329738688632503,4.47285084920283,7.71836152739251e-06,0.00117780683503789
"10979",1169.28841935688,-0.971340689380933,0.217310706233537,-4.4698243644612,7.82838549743713e-06,0.00118299825502533
"2069",15265.0776003191,0.953493625086562,0.213946535198905,4.45669112706173,8.32343934961615e-06,0.00124571474496899
"100008588",285.58630040893,-1.41464689255375,0.317576967142903,-4.4545009207711,8.4088568280441e-06,0.00124651291931911
"896",1117.62610046856,-0.990206802649854,0.222562375202077,-4.44912039490409,8.622267629323e-06,0.00125425790327488
"55245",900.232507015413,1.03965433252208,0.233637048073589,4.44986932121577,8.59225546682472e-06,0.00125425790327488
"8507",1500.11541046751,-1.02829980003135,0.23126083827365,-4.44649343878348,8.72833317184352e-06,0.00125793060944208
"5414",227.722653943727,-1.29659578374272,0.29240897778624,-4.43418595953841,9.24208285769221e-06,0.00131421357182073
"55796",207.184363223747,-1.41893032244483,0.320074563016213,-4.43312429789353,9.28772842276137e-06,0.00131421357182073
"22979",133.352759963727,-1.52898703382826,0.3454330491739,-4.42629052861277,9.58673870163406e-06,0.00134430259361202
"4758",1089.38431779952,-1.00753578472195,0.229074629381988,-4.398286215458,1.09109029613967e-05,0.00151632325530482
"91947",866.101933675052,1.7713409198836,0.403163152689351,4.39360816599346,1.11484679694781e-05,0.00152455485911254
"23568",671.053935092227,-1.08967348334086,0.248246298899502,-4.38948531426845,1.13619250663061e-05,0.00152455485911254
"29128",4099.24874946701,-0.873623570014907,0.198994699391002,-4.39018512899349,1.1325419918584e-05,0.00152455485911254
