"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","gene_name"
"PDZK1IP1",39.58674959092,-1.07502061180081,0.246206735740558,-4.36633306788821,1.26349768289181e-05,6.68945734557084e-05,"yes","PDZK1IP1"
"TBC1D20",21.113972314813,1.41314627241233,0.323926901836419,4.36254681040957,1.28557067887818e-05,6.79559347038206e-05,"yes","TBC1D20"
"KIAA1549",16.6722978388277,1.62682425874006,0.373083336565855,4.36048490858529,1.29774532717457e-05,6.85454775959608e-05,"yes","KIAA1549"
"PRSS36",18.7233274855131,-1.53373182479288,0.352343250024461,-4.35294794120902,1.34319054351796e-05,7.08621483752929e-05,"yes","PRSS36"
"C5orf30",32.0288462783819,-1.16748894908134,0.268271981283525,-4.35188551370734,1.34971740147649e-05,7.11784931533358e-05,"yes","C5orf30"
"SYT13",126.767068782574,1.0144543469968,0.233380557065487,4.34678175316952,1.38149557411163e-05,7.27971116350418e-05,"yes","SYT13"
"GTPBP3",24.7721022865313,1.28444074861776,0.295799995072395,4.34226088578332,1.41023932725674e-05,7.41951796646134e-05,"yes","GTPBP3"
"NOXA1",37.21231251694,1.0865193711129,0.250386009176899,4.33937732657124,1.42887002071125e-05,7.51164584555726e-05,"yes","NOXA1"
"C16orf93",22.7507424322958,1.36544660644046,0.314661783093228,4.33941037585714,1.42865516545502e-05,7.51164584555726e-05,"yes","C16orf93"
"GALNS",36.9552238144195,1.03430384232745,0.238448826347071,4.33763444413849,1.44024436163799e-05,7.56551227710858e-05,"yes","GALNS"
"UBTF",11.1953204415398,-2.13084936766468,0.491835725314352,-4.33244121561681,1.47465043784457e-05,7.73110991564e-05,"yes","UBTF"
"SPRR1A",13.3061374124115,1.92930180647826,0.445333452633964,4.33226337493228,1.47584243331697e-05,7.73433675210176e-05,"yes","SPRR1A"
"RASSF4",6.58641535417815,3.66860684581599,0.847761567673216,4.32740405522855,1.50877032344298e-05,7.89764442423371e-05,"yes","RASSF4"
"XRCC4",19.8420092009959,-1.49291545295196,0.345092360392534,-4.32613301335854,1.51749808793186e-05,7.93713619793129e-05,"yes","XRCC4"
"ERI1",21.3306371938915,1.39510558058746,0.322869502007882,4.32095807102092,1.55353194691108e-05,8.11295624747334e-05,"yes","ERI1"
"SLC38A10",41.1420275562784,1.0231028147501,0.236949763767036,4.31780474681541,1.57588741055873e-05,8.21690847262181e-05,"yes","SLC38A10"
"ACCS",14.782454906046,-1.75271622351469,0.406445148921157,-4.31230690824332,1.61559959024202e-05,8.4141630833412e-05,"yes","ACCS"
"FGD6",19.4519067434384,1.47220519888385,0.341565446283416,4.31017017354349,1.63128965042118e-05,8.48928702484508e-05,"yes","FGD6"
"CSGALNACT2",9.49045201741239,2.34702493237136,0.544651498102597,4.30922331169141,1.63828880723182e-05,8.52240505537885e-05,"yes","CSGALNACT2"
"REC8",27.7687914709835,1.31708138050346,0.305682850697521,4.30865315963289,1.64251714015118e-05,8.5377799117661e-05,"yes","REC8"
"TCFL5",28.0665486950918,1.19332538562693,0.277221068974208,4.30459845654065,1.67288882247338e-05,8.67548374267601e-05,"yes","TCFL5"
"SOX8",12.2497135898643,1.95057809574764,0.45326433795562,4.30340075847446,1.68196207030782e-05,8.71916659012741e-05,"yes","SOX8"
"LOC100288911",9.09756764198722,2.41039258766696,0.56044026416163,4.30089117753291,1.70112589795625e-05,8.81510430551604e-05,"yes","LOC100288911"
"PI4KAP2",17.2166821573638,1.57625086160047,0.366553521350784,4.30019293169477,1.706494778658e-05,8.83463621211409e-05,"yes","PI4KAP2"
"PACSIN3",6.59728654776036,3.67027355023221,0.856059362717344,4.28740541845352,1.80772186775091e-05,9.32067508752736e-05,"yes","PACSIN3"
"CHRNA10",23.1415770063594,1.32242073154956,0.308590814365405,4.28535351665936,1.82448831593675e-05,9.40350950695636e-05,"yes","CHRNA10"
"CHST4",14.5762170997342,-2.20440307852121,0.514527917604534,-4.28432161423652,1.83297605375642e-05,9.44000258625569e-05,"yes","CHST4"
"ZNF830",39.974563363068,-1.01199306346365,0.23622822393779,-4.28396339181788,1.83593133702667e-05,9.45159432753255e-05,"yes","ZNF830"
"ZFP64",12.5549533239698,-1.9384055881099,0.452733777331346,-4.2815572532182,1.85589958733145e-05,9.54340700024482e-05,"yes","ZFP64"
"PARP10",42.5205323119091,-1.22189087038586,0.285428308157433,-4.28090289387801,1.86136571433046e-05,9.56784767182276e-05,"yes","PARP10"
"LOC100128292",14.2838717981791,1.76893302020131,0.413285402963651,4.28017299308509,1.86748096218097e-05,9.59193131264161e-05,"yes","LOC100128292"
"TMX4",33.2370221964967,-1.10782448809247,0.258911372502238,-4.27877878590633,1.8792151250829e-05,9.64850750788835e-05,"yes","TMX4"
"HSPA12A",6.4700282751361,3.63965097757949,0.851000786102803,4.2769067162058,1.89508165648966e-05,9.72624923621474e-05,"yes","HSPA12A"
"UFL1",25.2711346624544,-1.26942675619181,0.297212219511809,-4.27111226542749,1.94500458578244e-05,9.96341409807452e-05,"yes","UFL1"
