"","HT-29 cells control sample-1","HT-29 cells control sample-2","HT-29 cells control sample-3","HT-29 cells control sample-4","HT-29 cells treatment sample-1","HT-29 cells treatment sample-2","HT-29 cells treatment sample-3","HT-29 cells treatment sample-4"
"CLCN6",4.01194692723903,3.85871451984124,3.60141277323361,3.91949137150124,2.14184286155268,2.0296635898134,1.97437253641211,2.1906651427791
"UBE2E3",60.1792039085855,59.8100750575392,70.2275490780554,59.7722434153939,33.1985643540666,33.4894492319212,36.5258919236241,32.8599771416865
"NKTR",47.1403763950587,56.9160391676583,62.1243703382798,54.8728792010174,69.6098930004622,71.0382256434691,77.9877151882785,84.3406079969953
"XLOC_000390",36.1075223451513,42.4458597182536,38.7151873122613,40.1747865578877,57.8297572619225,52.7712533351485,56.2696172877452,60.2432914264252
"B3GNT7",15.0448009771464,15.434858079365,16.2063574795513,16.6578383288803,16.0638214616451,17.2521405134139,16.782166559503,17.5253211422328
"SFSWAP",68.2030977630636,73.3155758769835,65.7257831115134,66.6313533155211,64.2552858465805,60.8899076944021,78.9749014564846,66.8152868547625
"INSIG1",180.537611725757,163.030688463292,192.675583367998,175.397238874681,349.120386433087,370.413605140946,408.695115037308,382.271067414953
"ALKBH1",6.01792039085855,5.78807177976186,7.20282554646722,5.87923705725186,7.49645001543439,7.10382256434692,8.88467641385451,8.76266057111639
"GRK6",101.301659912786,97.4325416259913,81.9321405910647,90.1483015445285,130.652414554714,135.987460517498,106.616116966254,106.247259424786
"HIC2",24.0716815634342,24.1169657490077,26.1102426059437,25.4766939147581,103.879378785305,106.557338465204,108.590489502666,110.628589710344
"LOC100506963",19.0567479043854,21.2229298591268,21.6084766394017,20.5773297003815,19.2765857539741,17.2521405134139,20.7309116323272,21.906651427791
"XLOC_012754",3.00896019542928,2.89403588988093,3.60141277323361,3.91949137150124,6.42552858465805,8.11865435925362,8.88467641385451,7.66732799972684
"BRI3",2086.2124021643,1850.25361226387,2081.61658292903,2057.73297003815,2185.75064021451,2103.74631084159,2282.3746520924,2134.80318163823
"PLOD3",1114.31825904064,1193.3074652609,1011.09663608534,1141.55186194974,1575.325424672,1687.66527492985,1487.68970618653,1396.54902852168
"C9orf91",6.01792039085855,5.78807177976186,6.30247235315882,5.87923705725186,5.35460715388171,5.07415897453351,4.93593134103028,5.47666285694775
"OR51E1",4.01194692723903,4.82339314980155,7.20282554646722,5.87923705725186,0,0,0,0
"SCARB1",1111.30929884521,1153.75564143253,1115.53760650911,1103.3368210776,1784.15510367339,2015.45594468471,1993.12907550803,1969.40796335841
"XLOC_007858",2.00597346361952,1.92935725992062,0.900353193308403,0.97987284287531,1.07092143077634,2.0296635898134,1.97437253641211,1.09533257138955
"UMOD",3.00896019542928,1.92935725992062,1.80070638661681,2.93961852862593,2.14184286155268,2.0296635898134,1.97437253641211,2.1906651427791
"SLC1A1",270.806417588635,289.403588988093,266.504545219287,229.290245232823,201.333228985952,216.159172315128,200.39881244583,207.017855992625
"RPS6KA4",137.409182257937,145.666473124007,123.348387483251,130.323088102416,161.709136047228,150.195105646192,135.24451874423,131.439908566746
"MZT2A",7.02090712266831,7.71742903968248,8.10317873977563,7.83898274300248,5.35460715388171,5.07415897453351,6.9103038774424,6.5719954283373
"TP53I3",62.185177372205,64.6334682073407,64.825429918205,64.6716076297705,25.7021143386322,25.3707948726676,23.6924704369454,23.0019839991805
"POLE2",18.0537611725757,19.2935725992062,20.7081234460933,16.6578383288803,7.49645001543439,7.10382256434692,6.9103038774424,7.66732799972684
"NPRL3",177.528651530327,177.500867912697,180.970991854989,177.356984560431,122.085043108503,118.735320004084,106.616116966254,108.437924567565
"TMEM199",35.1045356133416,31.8343947886902,37.8148341189529,36.2552951863865,23.5602714770795,26.3856266675743,26.6540292415635,27.3833142847387
"FIS1",384.143918283138,351.143021305553,321.4260900111,341.975622163483,298.787079186599,289.22706154841,252.719684660751,245.354495991259
