"","rownames(res)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XLOC_009800","XLOC_009800",1.25952183307279,0.121347723110637,1.22603142481446,0.098976030022233,0.921157301908769,NA
"TP53TG3","TP53TG3",1.25952183307279,0.121347723110637,1.22603142481446,0.098976030022233,0.921157301908769,NA
"LINC00204B","LINC00204B",1.25952183307279,0.121347723110637,1.22603142481446,0.098976030022233,0.921157301908769,NA
"CLDND1","CLDND1",72.8955199099364,0.121396294584613,0.167135546024212,0.726334388299585,0.467633802907491,0.620858495775052
"SNORA69","SNORA69",1.51587111727924,0.121423110256496,1.12806848922024,0.107638065788389,0.914282800261634,NA
"CCDC159","CCDC159",1.75181354996855,0.121612866995964,1.04031319142244,0.116900245040323,0.906939103971463,NA
"LOC100129195","LOC100129195",1.75181354996855,0.121612866995964,1.04031319142244,0.116900245040323,0.906939103971463,NA
"CXXC5","CXXC5",580.118350664256,0.121621800391836,0.0783866670566749,1.55156233781315,0.120766980632043,0.221582304726408
"RNF187","RNF187",53.8662969413858,0.121691836982879,0.19900279742064,0.611508172549225,0.540863209585676,0.686362166080347
"MSH2","MSH2",119.9215846761,0.12173895975426,0.132046112141417,0.921942780290888,0.356558422875488,0.509980309978548
"MYO1D","MYO1D",41.4167766679928,0.121962857541525,0.229409095008047,0.531639155532377,0.594975940190663,0.732378861693544
"APOH","APOH",146.428010189028,0.122004819708986,0.121756258783136,1.00204146323428,0.316323567616905,0.467597966192843
"LOC100132352","LOC100132352",1.75815847692294,0.122042263188897,1.04063705149724,0.11727649233064,0.906640952869156,NA
"BPNT1","BPNT1",68.9358919170598,0.122143387879898,0.179732687390304,0.679583606373471,0.496768152767578,0.647509273319132
"FAM98C","FAM98C",90.7926229838757,0.122548443929116,0.148759115669349,0.823804601000105,0.41005059288357,0.566029298706243
"DNAJB9","DNAJB9",63.725896887832,0.122791050622659,0.225750966184851,0.5439225917736,0.586494741859024,0.727360270118957
"RAB1B","RAB1B",235.216093113357,0.122827625723343,0.102691006350426,1.19608941511589,0.231661667791073,0.370700175011489
"RAI14","RAI14",41.6383752878479,0.122962967616965,0.218049362788512,0.563922618458775,0.57280679606989,0.714065784805208
"NUDT21","NUDT21",49.3473576481319,0.123008071565679,0.201872617134914,0.60933510107253,0.542302345437272,0.687538108711627
"MEX3B","MEX3B",1.73676166590336,0.123294237957212,1.05575766043629,0.116782707412476,0.907032247460857,NA
"RPL41","RPL41",6353.51968257266,0.123423315226267,0.0498363522193316,2.4765720148031,0.0132650861239349,0.0354510747885878
"ANKRD20A5P","ANKRD20A5P",2.25350158639535,0.123656988112972,0.916458202587527,0.134929217463316,0.892667838589273,0.943440343667377
"CSTB","CSTB",1001.16181047076,0.123965133549863,0.0654712985906154,1.89342713858485,0.0583010892270218,0.123079057918131
"IQGAP1","IQGAP1",898.850669168239,0.124363786354476,0.0715203824132983,1.73885796129848,0.0820597503112874,0.163074153484851
"NUDT5","NUDT5",286.16681157188,0.124470854964416,0.0950683644672183,1.30927733596739,0.190440423886233,0.317503259209357
"CHD3","CHD3",74.7314028245639,0.124533978474213,0.165109154845738,0.754252413141872,0.450697670672799,0.60471646662129
"ARPC1A","ARPC1A",287.028212936089,0.12459660701206,0.0934759965234889,1.33292622326579,0.182556016003499,0.30741452374833
"FASTKD5","FASTKD5",136.826209167753,0.124776193416025,0.129586281143015,0.962881196338355,0.335607146994115,0.48881831332896
"ZNF684","ZNF684",1.49891995659967,0.12477635506537,1.12752685117343,0.110663754868023,0.911882988815158,NA
"C13orf27","C13orf27",83.9118320671948,0.125313655279072,0.158999228731809,0.78814001978867,0.430614808648288,0.585796823446099
"MVP","MVP",1221.45551295842,0.125576869023066,0.0641695497586789,1.95695418614156,0.05035285496251,0.108746603698814
"DCAF11","DCAF11",64.9832500181871,0.125618623717995,0.17625800134464,0.712697425136297,0.476033010152888,0.628093908754046
"TBCC","TBCC",34.0895536997242,0.126064786981913,0.241004923728222,0.523079715682797,0.600918780623215,0.737395232717074
"SLU7","SLU7",72.9562011057264,0.126104694276388,0.166659657481346,0.756659987078773,0.449253592632093,0.603261555274963
"XLOC_001938","XLOC_001938",1.51071967381456,0.126442755266398,1.12784699399557,0.112109848179367,0.910736308937519,NA
"ZKSCAN1","ZKSCAN1",61.004464089126,0.126603783505623,0.181950371831178,0.695814920472338,0.486544743994442,0.638259928173407
"AIFM1","AIFM1",362.788809407106,0.126966153771133,0.0864664636375436,1.4683861051998,0.141999373709172,0.252460058001888
"PRR5","PRR5",29.3741688954118,0.127135983028578,0.26198753136092,0.485274937964251,0.627481330811798,0.759567764519633
"LOC100289509","LOC100289509",1.24842976091465,0.127346851575495,1.22613500599961,0.103860383197913,0.917280146651334,NA
"LYPLA2","LYPLA2",428.274438195263,0.127597162008617,0.0875690962906155,1.45710264709322,0.145088047814382,0.255882903835644
"PHF3","PHF3",62.6412357613711,0.127957331780214,0.192258598118588,0.665548032870228,0.505700032173711,0.654792874437532
"TUBGCP2","TUBGCP2",128.954697256479,0.128303822685889,0.126986154571357,1.01037647071824,0.312314956385929,0.463651372676068
"KIF2A","KIF2A",33.8563643046757,0.128471908926183,0.245722403172707,0.522833519725454,0.601090111155294,0.73746912951618
"LOC286052","LOC286052",29.6295117534514,0.128546094866662,0.257848650064083,0.498533131101188,0.618108323300596,0.752091853408859
"ZMYM2","ZMYM2",38.1729250782347,0.128668531446933,0.237428893252997,0.541924488144868,0.587870526326222,0.728377445621777
"FAM189B","FAM189B",145.319709526876,0.129085072333183,0.121197627334782,1.06507920304919,0.286840089603659,0.434469431232913
"UBE3C","UBE3C",82.6319409984725,0.129209756150732,0.156157675052559,0.827431351723461,0.407992616665869,0.564116912005018
"TMEM39A","TMEM39A",26.8435294262529,0.12960122634285,0.281898143127758,0.459744874176464,0.645699355606791,0.773870158551072
"LITAF","LITAF",77.9175080736823,0.129946887907441,0.165648278226213,0.784474727409984,0.432761605508665,0.588061349083789
"SDR16C5","SDR16C5",1.2514811534913,0.130242931379566,1.22607856074819,0.106227231720035,0.915402065392747,NA
"ATG3","ATG3",180.247156281575,0.13030383547236,0.111044619799,1.17343672938158,0.240620715414072,0.381534986171278
"PAFAH1B1","PAFAH1B1",88.1894887276986,0.130367555072517,0.164162097704754,0.794139188614554,0.427114405733755,0.581801895352225
"ALDOA","ALDOA",1962.56804744914,0.130409933952412,0.058357716927876,2.23466476787611,0.0254393652843364,0.061760349237513
"SPAG4","SPAG4",22.3936278202354,0.130547948256096,0.295882693517086,0.441215221831006,0.65905719437267,0.783400805451083
"LSM1","LSM1",99.2467027109683,0.130556780080078,0.144523165933137,0.90336230345576,0.366333639922597,0.520793908360873
"TCF3","TCF3",397.084192232051,0.131219356649668,0.0852273939671647,1.53963826114668,0.123648553667604,0.225880854575787
"PITX2","PITX2",22.5881898283346,0.131384936591552,0.295651632689996,0.444391040212234,0.656759890146158,0.782124719118795
