"GeneSymbol","Log2FoldChange","DirectionalFoldChange"
"CARD8-AS1",-1.0308065704939,-2.04316620931553
"ITPRIP",-1.32547150139591,-2.5061478023024
"ODC1-DT",1.08236720633256,2.11750768623379
"SH3RF3-AS1",1.54617390626486,2.92041603474276
"LOC100506178",1.1345674223104,2.19552722197563
"LIF",1.11082896010896,2.1596970598353
"SNORA10",-1.19644483810399,-2.29174231890917
"LOC105375181",1.90609134129779,3.74792307209294
"POTEF",1.15913675461693,2.23323760493036
"SNORD79",-1.03208637297134,-2.04497948880329
"SCTR",1.1883932750488,2.27898791616538
"SNORD29",-1.00073786909014,-2.00102316538653
"LOC105370364",1.31429280732398,2.48680400478023
"SNORD33",-1.40047482331929,-2.63988452383232
"LOC105371413",1.27886226385388,2.42647545037852
"NANOS3",2.27422901178562,4.83739052431291
"SNORA41",-1.14902699336473,-2.21764277974523
"SNORA28",-2.03876266711855,-4.10892975577779
"LOC105376714",1.82117335776001,3.53368479661189
"TOR4A",1.08368032087019,2.11943588022159
"C11orf96",1.20309706712657,2.30233388262407
"LINC01277",1.35500158836917,2.55797397881516
"IL1A",1.6784696096585,3.20088225851045
"LOC107985383",-1.67110551677017,-3.18458530287316
"LOC105371058",2.62718192252277,6.17818007846385
"LOC105378911",1.1077166846377,2.15504304280541
"CCL20",1.73411669246489,3.32675746757163
"SNORA26",-1.89921119667896,-3.73009195536942
"LOC105377290",1.05514722476898,2.07793024530255
"NPTX1",1.84389069062221,3.58976820464901
"UNC13A",1.01168954759921,2.01627098335012
"LOC105371600",1.08594538673259,2.12276605900082
"CAMK1G",1.62005463372036,3.07386676527565
"HS3ST3B1",1.51283989778386,2.85371230485292
"SNORD100",-1.23708481633125,-2.35721739283386
